userId,orderId,placedAt,channel,promoCode
USR00419,ORD00124,2023-02-07,tablet,
USR00640,ORD00125,2023-05-10,mobile,CYBER20
USR00146,ORD00126,2021-05-01,web,DESCUENTO10
USR00798,ORD00127,2020-05-15,web,VERANO25
USR00068,ORD00128,2024-01-17,app,
USR01372,ORD00129,2024-02-24,desktop,DESCUENTO10
USR00755,ORD00130,2025-03-20,app,
USR00103,ORD00131,2024-10-31,app,BIENVENIDO
USR00158,ORD00132,2024-12-13,app,
USR01343,ORD00133,2020-04-25,app,
USR00999,ORD00134,2021-02-07,web,BIENVENIDO
USR00743,ORD00135,2022-07-24,desktop,
USR01052,ORD00136,2021-04-29,web,
USR00294,ORD00137,2021-07-23,app,BLACK50
USR00368,ORD00138,2022-05-12,desktop,BLACK50
USR00192,ORD00139,2020-07-02,app,BLACK50
USR01172,ORD00140,2024-12-30,mobile,BIENVENIDO
USR00493,ORD00141,2024-02-25,app,BLACK50
USR01013,ORD00142,2020-04-24,tablet,
USR01115,ORD00143,2023-04-14,desktop,PROMO2024
USR00432,ORD00144,2024-04-14,tablet,BLACK50
USR00136,ORD00145,2023-06-13,app,
USR00410,ORD00146,2022-04-28,app,BLACK50
USR00427,ORD00147,2021-07-18,mobile,VERANO25
USR00522,ORD00148,2020-07-19,web,DESCUENTO10
USR00750,ORD00149,2022-12-13,web,
USR00994,ORD00150,2022-09-22,desktop,DESCUENTO10
USR01472,ORD00151,2022-03-07,app,VERANO25
USR01121,ORD00152,2020-06-22,web,
USR00785,ORD00153,2021-02-13,tablet,PROMO2024
USR00138,ORD00154,2022-02-10,mobile,
USR00174,ORD00155,2025-03-04,mobile,VERANO25
USR00483,ORD00156,2020-04-21,desktop,CYBER20
USR01393,ORD00157,2022-09-14,mobile,
USR00649,ORD00158,2021-07-29,desktop,PROMO2024
USR01351,ORD00159,2024-09-28,app,VERANO25
USR00925,ORD00160,2022-02-14,tablet,BIENVENIDO
USR01159,ORD00161,2024-05-19,app,VERANO25
USR00322,ORD00162,2023-06-08,app,
USR00462,ORD00163,2022-12-10,tablet,BLACK50
USR00657,ORD00164,2023-11-14,desktop,PROMO2024
USR01383,ORD00165,2020-04-06,desktop,BIENVENIDO
USR00495,ORD00166,2021-07-21,app,
USR01471,ORD00167,2021-01-02,app,BLACK50
USR00656,ORD00168,2022-05-22,web,
USR01418,ORD00169,2023-04-25,mobile,BIENVENIDO
USR01142,ORD00170,2024-05-21,web,
USR00151,ORD00171,2023-09-18,desktop,PROMO2024
USR00632,ORD00172,2024-01-31,tablet,CYBER20
USR00915,ORD00173,2025-07-05,desktop,
USR00387,ORD00174,2021-03-05,mobile,
USR01261,ORD00175,2021-02-24,desktop,CYBER20
USR01285,ORD00176,2023-11-11,web,
USR00428,ORD00177,2022-09-14,tablet,PROMO2024
USR00107,ORD00178,2023-01-28,tablet,BLACK50
USR00308,ORD00179,2021-06-21,tablet,
USR00700,ORD00180,2025-02-02,app,
USR00319,ORD00181,2023-08-31,desktop,PROMO2024
USR01244,ORD00182,2020-08-16,web,
USR00048,ORD00183,2022-05-16,app,BIENVENIDO
USR00880,ORD00184,2023-11-30,app,DESCUENTO10
USR01002,ORD00185,2021-12-14,web,PROMO2024
USR00621,ORD00186,2021-02-08,mobile,
USR01276,ORD00187,2023-11-24,web,BIENVENIDO
USR00131,ORD00188,2023-12-06,web,DESCUENTO10
USR01161,ORD00189,2023-08-28,web,BIENVENIDO
USR00427,ORD00190,2020-11-03,mobile,CYBER20
USR01455,ORD00191,2022-03-13,mobile,BIENVENIDO
USR01041,ORD00192,2023-11-29,tablet,
USR01196,ORD00193,2023-06-30,tablet,CYBER20
USR00010,ORD00194,2023-08-17,tablet,VERANO25
USR00812,ORD00195,2024-07-24,tablet,CYBER20
USR00137,ORD00196,2024-08-20,desktop,CYBER20
USR00282,ORD00197,2020-01-22,tablet,CYBER20
USR00935,ORD00198,2023-09-19,desktop,BIENVENIDO
USR00774,ORD00199,2021-11-09,app,
USR01118,ORD00200,2024-01-02,web,BLACK50
USR00014,ORD00201,2023-05-11,mobile,
USR01443,ORD00202,2024-05-15,web,PROMO2024
USR01467,ORD00203,2022-01-21,mobile,DESCUENTO10
USR00001,ORD00204,2021-08-05,tablet,
USR01259,ORD00205,2021-10-28,app,BIENVENIDO
USR00460,ORD00206,2021-12-16,desktop,
USR00783,ORD00207,2023-02-27,app,CYBER20
USR00664,ORD00208,2021-07-04,tablet,
USR01209,ORD00209,2023-04-17,app,BIENVENIDO
USR00200,ORD00210,2021-01-10,desktop,VERANO25
USR01148,ORD00211,2023-09-08,app,VERANO25
USR00465,ORD00212,2023-07-06,desktop,
USR00712,ORD00213,2023-04-16,app,VERANO25
USR01127,ORD00214,2023-10-23,mobile,DESCUENTO10
USR00015,ORD00215,2023-08-10,web,
USR00619,ORD00216,2020-09-26,desktop,
USR00163,ORD00217,2022-10-18,web,
USR00868,ORD00218,2024-09-29,tablet,
USR01372,ORD00219,2021-01-29,app,BIENVENIDO
USR00209,ORD00220,2023-08-12,web,BIENVENIDO
USR01444,ORD00221,2023-01-07,mobile,CYBER20
USR01378,ORD00222,2024-02-12,web,BLACK50
USR00034,ORD00223,2023-01-21,web,
USR01053,ORD00224,2020-03-09,desktop,DESCUENTO10
USR01168,ORD00225,2024-07-25,web,VERANO25
USR00674,ORD00226,2024-12-19,web,VERANO25
USR00248,ORD00227,2023-06-27,app,CYBER20
USR00917,ORD00228,2022-04-19,app,CYBER20
USR00061,ORD00229,2024-12-18,mobile,
USR00868,ORD00230,2024-07-04,tablet,
USR00352,ORD00231,2022-05-15,tablet,PROMO2024
USR00642,ORD00232,2022-04-19,mobile,
USR00328,ORD00233,2024-01-14,app,
USR01269,ORD00234,2020-09-09,web,VERANO25
USR00796,ORD00235,2024-08-30,app,
USR00043,ORD00236,2022-10-28,desktop,
USR00040,ORD00237,2021-12-30,web,BLACK50
USR01348,ORD00238,2022-07-11,desktop,BIENVENIDO
USR01451,ORD00239,2022-11-26,app,
USR01442,ORD00240,2021-03-25,web,BLACK50
USR01353,ORD00241,2022-03-08,app,DESCUENTO10
USR01049,ORD00242,2025-05-06,desktop,BIENVENIDO
USR01108,ORD00243,2020-12-14,web,
USR00232,ORD00244,2025-12-05,tablet,PROMO2024
USR00473,ORD00245,2020-12-24,desktop,BLACK50
USR00414,ORD00246,2023-08-27,web,
USR01290,ORD00247,2021-11-12,desktop,
USR01003,ORD00248,2025-03-20,mobile,DESCUENTO10
USR01045,ORD00249,2024-08-31,app,BIENVENIDO
USR01383,ORD00250,2020-06-16,tablet,
USR00111,ORD00251,2020-07-25,web,BLACK50
USR00230,ORD00252,2023-04-18,web,CYBER20
USR01201,ORD00253,2021-02-05,desktop,VERANO25
USR01370,ORD00254,2020-05-20,tablet,DESCUENTO10
USR01295,ORD00255,2020-03-10,desktop,
USR00200,ORD00256,2021-11-03,tablet,
USR00196,ORD00257,2021-05-24,web,BIENVENIDO
USR00072,ORD00258,2023-02-03,mobile,
USR00350,ORD00259,2023-10-30,mobile,
USR00457,ORD00260,2021-01-07,mobile,
USR00837,ORD00261,2025-11-02,app,
USR01287,ORD00262,2021-10-26,web,BIENVENIDO
USR00857,ORD00263,2021-09-30,web,DESCUENTO10
USR00190,ORD00264,2024-07-12,mobile,DESCUENTO10
USR00090,ORD00265,2020-02-05,desktop,
USR00937,ORD00266,2021-06-27,tablet,
USR01473,ORD00267,2024-03-26,app,VERANO25
USR01178,ORD00268,2022-05-22,tablet,BLACK50
USR01297,ORD00269,2022-10-01,desktop,DESCUENTO10
USR01241,ORD00270,2022-09-09,tablet,DESCUENTO10
USR00272,ORD00271,2023-08-29,mobile,VERANO25
USR01200,ORD00272,2025-11-27,web,
USR01478,ORD00273,2023-12-29,mobile,
USR00604,ORD00274,2024-12-03,web,CYBER20
USR00628,ORD00275,2020-08-13,web,CYBER20
USR00844,ORD00276,2021-03-17,tablet,DESCUENTO10
USR00207,ORD00277,2020-01-08,tablet,BLACK50
USR00744,ORD00278,2022-11-25,mobile,CYBER20
USR00652,ORD00279,2020-10-06,web,
USR00777,ORD00280,2025-09-26,desktop,
USR00488,ORD00281,2022-07-28,web,
USR00487,ORD00282,2023-04-18,desktop,
USR01248,ORD00283,2022-07-05,desktop,
USR00449,ORD00284,2023-10-25,web,PROMO2024
USR00904,ORD00285,2025-06-09,app,
USR00528,ORD00286,2022-10-26,tablet,DESCUENTO10
USR01388,ORD00287,2020-01-07,mobile,
USR00973,ORD00288,2021-02-05,web,
USR00911,ORD00289,2025-02-07,desktop,BIENVENIDO
USR00978,ORD00290,2025-06-01,mobile,CYBER20
USR00331,ORD00291,2020-07-31,tablet,BLACK50
USR00464,ORD00292,2025-06-28,desktop,
USR00700,ORD00293,2021-02-01,web,
USR01398,ORD00294,2025-02-27,app,PROMO2024
USR00326,ORD00295,2022-01-04,tablet,
USR01490,ORD00296,2023-02-25,app,DESCUENTO10
USR00251,ORD00297,2023-11-20,desktop,
USR00246,ORD00298,2023-01-12,desktop,BIENVENIDO
USR01316,ORD00299,2022-08-21,web,
USR01205,ORD00300,2022-02-16,app,BLACK50
USR00401,ORD00301,2023-10-22,mobile,BLACK50
USR00911,ORD00302,2025-02-01,desktop,
USR01383,ORD00303,2023-01-12,desktop,
USR00402,ORD00304,2023-04-07,tablet,
USR01322,ORD00305,2020-05-10,tablet,
USR00771,ORD00306,2025-02-25,app,VERANO25
USR01347,ORD00307,2023-04-16,web,DESCUENTO10
USR00522,ORD00308,2025-08-01,desktop,CYBER20
USR00278,ORD00309,2020-04-26,tablet,DESCUENTO10
USR01106,ORD00310,2024-02-07,web,BLACK50
USR00622,ORD00311,2020-11-15,mobile,VERANO25
USR00334,ORD00312,2025-08-22,web,BLACK50
USR00903,ORD00313,2024-01-14,mobile,VERANO25
USR01107,ORD00314,2020-11-11,mobile,CYBER20
USR01181,ORD00315,2025-03-13,tablet,
USR00219,ORD00316,2024-07-19,desktop,
USR00608,ORD00317,2020-08-03,desktop,
USR00122,ORD00318,2021-08-12,desktop,CYBER20
USR00797,ORD00319,2021-06-01,tablet,CYBER20
USR00051,ORD00320,2025-04-14,tablet,
USR01101,ORD00321,2022-06-02,web,
USR00973,ORD00322,2023-07-02,desktop,
USR00187,ORD00323,2023-01-11,mobile,
USR00153,ORD00324,2023-01-08,web,CYBER20
USR00357,ORD00325,2020-07-13,web,VERANO25
USR00972,ORD00326,2021-10-13,web,BIENVENIDO
USR01221,ORD00327,2021-04-08,desktop,
USR00316,ORD00328,2022-04-22,desktop,VERANO25
USR00076,ORD00329,2024-12-09,web,VERANO25
USR00718,ORD00330,2023-04-22,tablet,
USR00806,ORD00331,2021-10-16,web,BIENVENIDO
USR00158,ORD00332,2023-02-15,tablet,BIENVENIDO
USR01219,ORD00333,2023-05-01,app,DESCUENTO10
USR00462,ORD00334,2022-04-25,web,BIENVENIDO
USR00904,ORD00335,2023-03-01,web,DESCUENTO10
USR00787,ORD00336,2024-11-24,web,BLACK50
USR00987,ORD00337,2021-11-16,app,
USR00025,ORD00338,2023-05-30,desktop,
USR00603,ORD00339,2023-10-05,web,
USR00875,ORD00340,2020-06-26,mobile,
USR00922,ORD00341,2024-02-09,desktop,
USR01265,ORD00342,2023-01-18,app,
USR01325,ORD00343,2024-06-18,web,
USR00142,ORD00344,2025-09-26,mobile,VERANO25
USR00703,ORD00345,2021-05-18,app,CYBER20
USR00197,ORD00346,2024-02-26,web,
USR00523,ORD00347,2023-07-26,app,BIENVENIDO
USR01310,ORD00348,2020-04-03,mobile,
USR00055,ORD00349,2020-09-06,web,BIENVENIDO
USR01472,ORD00350,2022-09-13,web,PROMO2024
USR00657,ORD00351,2025-08-20,mobile,BIENVENIDO
USR00920,ORD00352,2025-01-10,tablet,BIENVENIDO
USR00716,ORD00353,2025-06-01,app,VERANO25
USR00788,ORD00354,2020-08-24,web,BIENVENIDO
USR00524,ORD00355,2025-05-09,app,
USR01419,ORD00356,2025-12-02,web,BIENVENIDO
USR00372,ORD00357,2025-11-10,mobile,
USR01086,ORD00358,2020-08-20,app,VERANO25
USR01382,ORD00359,2024-07-13,desktop,PROMO2024
USR00221,ORD00360,2022-12-07,desktop,
USR00846,ORD00361,2022-06-30,web,PROMO2024
USR00351,ORD00362,2021-09-24,web,
USR00301,ORD00363,2020-03-24,desktop,BLACK50
USR00652,ORD00364,2024-02-16,desktop,BIENVENIDO
USR00751,ORD00365,2025-06-13,app,DESCUENTO10
USR00454,ORD00366,2020-06-19,app,VERANO25
USR00835,ORD00367,2020-09-23,tablet,CYBER20
USR01156,ORD00368,2025-05-29,web,CYBER20
USR00118,ORD00369,2023-03-29,desktop,
USR01475,ORD00370,2023-09-05,desktop,CYBER20
USR00146,ORD00371,2025-11-17,desktop,VERANO25
USR00509,ORD00372,2020-11-13,desktop,DESCUENTO10
USR01084,ORD00373,2020-04-24,mobile,VERANO25
USR00953,ORD00374,2025-02-22,mobile,VERANO25
USR01305,ORD00375,2022-08-16,desktop,
USR01249,ORD00376,2021-08-09,mobile,VERANO25
USR00089,ORD00377,2024-08-21,tablet,BLACK50
USR00106,ORD00378,2024-12-17,app,
USR01052,ORD00379,2025-03-07,desktop,BLACK50
USR00147,ORD00380,2024-06-19,web,BLACK50
USR00694,ORD00381,2021-01-19,desktop,
USR01024,ORD00382,2025-02-01,tablet,
USR00288,ORD00383,2021-02-14,web,BLACK50
USR00447,ORD00384,2021-11-24,tablet,BIENVENIDO
USR00074,ORD00385,2020-06-20,mobile,CYBER20
USR00776,ORD00386,2020-11-09,tablet,
USR00783,ORD00387,2023-01-05,mobile,CYBER20
USR00082,ORD00388,2025-10-23,web,CYBER20
USR00168,ORD00389,2023-02-27,mobile,
USR01145,ORD00390,2024-10-09,web,
USR00781,ORD00391,2024-01-26,tablet,
USR00887,ORD00392,2023-09-11,mobile,DESCUENTO10
USR00320,ORD00393,2020-09-14,web,
USR00670,ORD00394,2023-05-19,app,
USR00172,ORD00395,2023-02-02,mobile,
USR01304,ORD00396,2021-08-04,tablet,BIENVENIDO
USR00674,ORD00397,2025-03-26,mobile,PROMO2024
USR01333,ORD00398,2023-04-20,tablet,BLACK50
USR00368,ORD00399,2022-05-31,tablet,CYBER20
USR01031,ORD00400,2025-03-11,tablet,BIENVENIDO
USR00317,ORD00401,2022-03-06,app,BLACK50
USR00482,ORD00402,2022-04-25,web,DESCUENTO10
USR01500,ORD00403,2024-08-28,desktop,DESCUENTO10
USR00343,ORD00404,2023-02-21,web,CYBER20
USR00400,ORD00405,2025-06-26,app,DESCUENTO10
USR00065,ORD00406,2023-05-10,app,DESCUENTO10
USR00895,ORD00407,2024-09-05,mobile,
USR01247,ORD00408,2020-05-09,mobile,PROMO2024
USR00086,ORD00409,2023-07-01,mobile,CYBER20
USR01220,ORD00410,2025-07-11,mobile,
USR00624,ORD00411,2023-08-06,mobile,CYBER20
USR00242,ORD00412,2025-03-31,app,
USR00405,ORD00413,2025-01-18,tablet,BIENVENIDO
USR00358,ORD00414,2025-08-18,app,
USR00356,ORD00415,2025-03-16,tablet,CYBER20
USR00527,ORD00416,2024-03-26,web,BLACK50
USR00625,ORD00417,2023-03-31,mobile,
USR00626,ORD00418,2023-04-01,app,
USR00062,ORD00419,2020-08-28,tablet,PROMO2024
USR00788,ORD00420,2021-02-14,app,PROMO2024
USR01135,ORD00421,2023-04-18,desktop,
USR00626,ORD00422,2022-05-30,tablet,DESCUENTO10
USR00794,ORD00423,2022-09-29,mobile,
USR01227,ORD00424,2021-10-25,tablet,BLACK50
USR00755,ORD00425,2024-08-28,web,BLACK50
USR01434,ORD00426,2021-09-01,tablet,CYBER20
USR01302,ORD00427,2021-04-08,tablet,VERANO25
USR01377,ORD00428,2020-10-26,web,
USR00236,ORD00429,2021-02-10,app,
USR00780,ORD00430,2025-12-04,desktop,DESCUENTO10
USR01249,ORD00431,2020-10-10,tablet,
USR01117,ORD00432,2020-10-27,mobile,
USR01182,ORD00433,2024-07-16,tablet,DESCUENTO10
USR00747,ORD00434,2022-04-07,desktop,
USR00132,ORD00435,2021-07-15,web,
USR01320,ORD00436,2021-01-13,desktop,CYBER20
USR00073,ORD00437,2023-04-22,web,BLACK50
USR01388,ORD00438,2022-07-11,app,BLACK50
USR00846,ORD00439,2023-03-30,tablet,
USR00405,ORD00440,2020-02-04,desktop,DESCUENTO10
USR00464,ORD00441,2024-05-31,tablet,
USR00163,ORD00442,2020-12-25,web,
USR01031,ORD00443,2023-10-23,web,BIENVENIDO
USR00223,ORD00444,2025-05-02,desktop,BLACK50
USR01213,ORD00445,2024-11-03,web,PROMO2024
USR00782,ORD00446,2024-03-21,mobile,
USR01037,ORD00447,2022-03-25,web,CYBER20
USR01452,ORD00448,2024-08-18,mobile,BLACK50
USR00729,ORD00449,2023-07-05,desktop,CYBER20
USR01143,ORD00450,2025-04-27,tablet,DESCUENTO10
USR01041,ORD00451,2025-06-24,mobile,CYBER20
USR01244,ORD00452,2021-10-25,app,
USR00697,ORD00453,2022-01-01,mobile,BLACK50
USR00251,ORD00454,2020-04-18,tablet,
USR00225,ORD00455,2023-05-14,app,CYBER20
USR00659,ORD00456,2025-04-22,tablet,VERANO25
USR00710,ORD00457,2022-05-05,mobile,DESCUENTO10
USR00883,ORD00458,2024-04-06,mobile,PROMO2024
USR00694,ORD00459,2022-05-30,tablet,
USR01376,ORD00460,2020-02-04,tablet,BLACK50
USR01219,ORD00461,2023-11-19,mobile,BLACK50
USR00423,ORD00462,2022-01-20,app,DESCUENTO10
USR00360,ORD00463,2025-06-19,app,BIENVENIDO
USR01474,ORD00464,2023-06-29,web,DESCUENTO10
USR00195,ORD00465,2020-05-10,tablet,VERANO25
USR00250,ORD00466,2020-09-13,mobile,CYBER20
USR00402,ORD00467,2022-04-24,desktop,BIENVENIDO
USR00178,ORD00468,2021-12-23,desktop,BIENVENIDO
USR01133,ORD00469,2023-06-19,mobile,BLACK50
USR00141,ORD00470,2025-05-02,web,BLACK50
USR01371,ORD00471,2022-06-02,mobile,DESCUENTO10
USR00571,ORD00472,2020-12-09,web,VERANO25
USR01478,ORD00473,2021-12-14,mobile,
USR01379,ORD00474,2024-10-04,tablet,
USR00316,ORD00475,2021-05-25,app,BLACK50
USR01093,ORD00476,2021-08-01,mobile,DESCUENTO10
USR01366,ORD00477,2025-05-02,web,
USR00456,ORD00478,2023-09-15,mobile,BLACK50
USR01209,ORD00479,2021-07-14,tablet,
USR01262,ORD00480,2023-12-19,app,
USR00811,ORD00481,2021-06-10,app,VERANO25
USR00861,ORD00482,2023-02-01,desktop,CYBER20
USR00172,ORD00483,2022-08-27,tablet,DESCUENTO10
USR00349,ORD00484,2023-07-25,desktop,DESCUENTO10
USR00085,ORD00485,2021-05-27,mobile,BLACK50
USR00348,ORD00486,2020-02-10,tablet,BLACK50
USR00297,ORD00487,2021-05-16,web,
USR00409,ORD00488,2024-10-17,app,CYBER20
USR01056,ORD00489,2024-12-08,tablet,DESCUENTO10
USR00659,ORD00490,2023-04-06,desktop,PROMO2024
USR00951,ORD00491,2022-03-25,tablet,VERANO25
USR01001,ORD00492,2023-10-12,desktop,DESCUENTO10
USR00710,ORD00493,2021-05-11,mobile,
USR00411,ORD00494,2022-05-10,web,
USR00888,ORD00495,2022-06-27,tablet,PROMO2024
USR01036,ORD00496,2025-02-13,desktop,PROMO2024
USR00383,ORD00497,2020-08-16,app,DESCUENTO10
USR00782,ORD00498,2023-10-10,tablet,
USR01056,ORD00499,2024-05-02,desktop,
USR00097,ORD00500,2021-08-29,mobile,BIENVENIDO
