userId,productId,viewedAt,duration,source
USR00016,PRD01642,2021-11-12,440,search
USR00016,PRD00295,2025-04-05,455,search
USR00016,PRD02996,2022-05-02,405,search
USR00016,PRD02269,2022-02-02,534,social
USR00016,PRD00521,2021-05-21,450,email
USR00016,PRD02988,2021-11-13,137,direct
USR00016,PRD01139,2021-05-29,395,recommendation
USR00017,PRD01945,2022-02-10,525,direct
USR00017,PRD02800,2023-05-29,571,direct
USR00017,PRD00049,2022-10-31,451,search
USR00017,PRD00034,2023-02-20,173,search
USR00017,PRD01887,2024-11-04,342,email
USR00017,PRD00761,2023-05-25,155,homepage
USR00017,PRD00915,2025-05-10,577,homepage
USR00018,PRD00269,2021-10-31,318,ad
USR00018,PRD01714,2025-02-01,499,email
USR00018,PRD02043,2023-10-16,203,ad
USR00018,PRD01795,2024-03-24,555,social
USR00019,PRD00011,2024-09-24,520,recommendation
USR00020,PRD02103,2022-07-25,579,recommendation
USR00020,PRD00482,2023-01-25,391,social
USR00020,PRD02259,2021-07-30,220,ad
USR00020,PRD00539,2021-12-08,70,homepage
USR00021,PRD02332,2023-01-10,285,homepage
USR00021,PRD02755,2021-12-06,586,search
USR00021,PRD00769,2021-11-09,347,homepage
USR00021,PRD01724,2021-08-09,324,recommendation
USR00021,PRD00912,2025-09-20,540,direct
USR00022,PRD01411,2021-05-26,334,social
USR00023,PRD02739,2025-02-15,191,email
USR00023,PRD01973,2023-11-24,230,ad
USR00023,PRD01197,2021-05-07,299,ad
USR00023,PRD02865,2023-04-19,433,recommendation
USR00023,PRD00231,2022-08-10,449,ad
USR00023,PRD02687,2025-02-19,256,social
USR00024,PRD02877,2023-12-22,187,homepage
USR00024,PRD00691,2023-04-26,430,social
USR00024,PRD00159,2024-01-28,392,email
USR00025,PRD02836,2021-06-18,370,homepage
USR00025,PRD02624,2023-09-23,105,ad
USR00025,PRD01817,2023-06-25,427,email
USR00025,PRD01180,2023-06-06,404,homepage
USR00026,PRD00787,2022-11-20,425,direct
USR00027,PRD00253,2024-03-02,275,recommendation
USR00027,PRD01568,2024-06-07,508,social
USR00027,PRD02383,2023-01-28,361,search
USR00027,PRD00205,2022-06-08,492,social
USR00027,PRD01692,2025-11-11,160,email
USR00027,PRD00547,2023-01-18,464,social
USR00027,PRD02525,2023-09-24,421,search
USR00028,PRD02644,2024-02-14,154,social
USR00028,PRD01662,2024-02-23,575,ad
USR00028,PRD00315,2024-03-01,149,social
USR00028,PRD00274,2021-01-07,523,email
USR00028,PRD00440,2023-09-27,411,direct
USR00028,PRD02228,2021-11-12,123,recommendation
USR00028,PRD01621,2025-08-13,333,social
USR00029,PRD02255,2021-02-11,165,homepage
USR00029,PRD01739,2022-04-13,291,email
USR00029,PRD00434,2022-07-16,121,direct
USR00029,PRD00333,2024-09-11,244,email
USR00029,PRD00993,2021-06-13,509,email
USR00029,PRD01772,2022-01-05,401,search
USR00029,PRD00394,2023-12-03,240,recommendation
USR00030,PRD02298,2022-07-20,132,ad
USR00030,PRD01880,2021-02-02,556,email
USR00030,PRD00255,2021-05-22,270,recommendation
USR00030,PRD00035,2025-11-04,424,ad
USR00030,PRD01473,2024-02-17,10,recommendation
USR00030,PRD01618,2025-08-27,583,recommendation
USR00030,PRD01939,2022-11-05,381,recommendation
USR00030,PRD00734,2023-02-16,452,email
USR00031,PRD01043,2024-11-26,74,recommendation
USR00031,PRD01472,2023-07-27,20,ad
USR00031,PRD02435,2024-06-26,76,social
USR00031,PRD00212,2025-09-06,474,ad
USR00031,PRD02487,2024-02-23,291,recommendation
USR00031,PRD02606,2021-06-08,478,recommendation
USR00031,PRD02740,2022-03-05,540,social
USR00032,PRD02153,2024-11-21,36,recommendation
USR00032,PRD02898,2021-04-01,17,social
USR00033,PRD01637,2025-05-18,215,direct
USR00033,PRD02569,2024-02-28,309,ad
USR00033,PRD01073,2024-12-27,344,homepage
USR00033,PRD00616,2024-08-30,166,ad
USR00033,PRD00355,2023-10-08,540,recommendation
USR00033,PRD00365,2022-11-29,93,direct
USR00034,PRD01686,2025-11-21,101,ad
USR00034,PRD02001,2025-09-10,376,social
USR00034,PRD01761,2022-01-20,92,direct
USR00034,PRD00843,2023-04-19,286,homepage
USR00034,PRD02847,2024-09-07,598,email
USR00034,PRD02949,2022-01-15,113,direct
USR00034,PRD02484,2023-10-06,393,recommendation
USR00035,PRD00797,2024-05-23,241,homepage
USR00036,PRD02836,2021-09-15,456,direct
USR00036,PRD02603,2023-02-06,72,recommendation
USR00036,PRD02951,2025-01-16,155,search
USR00036,PRD01043,2022-11-05,298,email
USR00036,PRD02136,2021-05-12,440,social
USR00036,PRD02427,2025-02-13,416,direct
USR00036,PRD01458,2022-12-18,155,search
USR00036,PRD02202,2023-03-18,187,search
USR00037,PRD01558,2023-06-07,593,ad
USR00037,PRD01104,2021-10-03,79,email
USR00037,PRD00123,2021-01-24,58,search
USR00037,PRD02229,2025-06-02,547,ad
USR00037,PRD02318,2022-07-16,477,direct
USR00037,PRD01416,2023-07-12,579,email
USR00037,PRD00666,2021-05-10,523,ad
USR00037,PRD02687,2021-02-19,546,search
USR00038,PRD00978,2025-03-30,407,search
USR00038,PRD00702,2021-01-14,592,direct
USR00038,PRD01677,2021-09-14,567,email
USR00038,PRD02269,2024-10-04,443,search
USR00038,PRD01051,2025-08-15,285,search
USR00038,PRD02956,2025-05-09,513,recommendation
USR00038,PRD01847,2025-12-07,68,email
USR00039,PRD02295,2023-02-07,103,email
USR00039,PRD02091,2023-10-25,433,homepage
USR00040,PRD01262,2022-03-12,468,social
USR00041,PRD02703,2025-06-30,329,social
USR00041,PRD00386,2022-08-28,71,search
USR00042,PRD01592,2025-03-22,333,homepage
USR00042,PRD01483,2023-07-02,372,direct
USR00042,PRD02952,2023-05-17,41,email
USR00043,PRD00813,2024-03-13,276,recommendation
USR00043,PRD02943,2025-10-07,547,direct
USR00043,PRD00195,2024-07-23,267,social
USR00044,PRD00868,2022-07-13,16,recommendation
USR00044,PRD01867,2021-05-18,481,social
USR00044,PRD02903,2023-12-09,354,email
USR00044,PRD01401,2025-02-08,213,ad
USR00044,PRD02414,2025-11-29,271,email
USR00044,PRD00819,2022-08-11,205,search
USR00044,PRD01512,2022-01-03,15,ad
USR00044,PRD02248,2024-08-11,195,recommendation
USR00045,PRD02630,2021-09-27,572,homepage
USR00046,PRD00360,2025-05-06,434,direct
USR00046,PRD00688,2024-01-01,89,ad
USR00046,PRD01616,2023-07-22,195,direct
USR00046,PRD02747,2023-07-01,390,ad
USR00046,PRD01634,2025-05-15,286,search
USR00046,PRD00023,2025-09-08,55,search
USR00047,PRD02076,2022-04-23,276,recommendation
USR00047,PRD02533,2021-12-05,68,direct
USR00047,PRD01993,2024-07-11,244,ad
USR00048,PRD00096,2023-11-09,227,direct
USR00048,PRD01987,2025-10-17,25,direct
USR00049,PRD01388,2022-03-02,512,email
USR00050,PRD00266,2024-06-03,409,recommendation
USR00050,PRD00625,2024-01-11,306,recommendation
USR00050,PRD01357,2022-08-14,67,email
USR00050,PRD01123,2024-11-30,505,email
USR00050,PRD01786,2024-01-14,486,social
USR00050,PRD02337,2025-12-08,64,homepage
USR00051,PRD02977,2022-03-27,543,recommendation
USR00051,PRD02291,2021-08-24,597,recommendation
USR00051,PRD00061,2021-02-08,14,search
USR00052,PRD02859,2024-08-13,587,direct
USR00052,PRD02845,2023-03-06,217,direct
USR00052,PRD01448,2022-07-03,90,social
USR00052,PRD02075,2024-03-16,219,homepage
USR00052,PRD00172,2025-12-22,575,social
USR00052,PRD02437,2022-05-22,441,ad
USR00053,PRD02422,2022-11-02,328,homepage
USR00053,PRD00959,2023-02-09,436,homepage
USR00053,PRD01667,2024-12-30,270,homepage
USR00053,PRD01837,2025-10-27,468,ad
USR00053,PRD00303,2022-10-11,471,direct
USR00053,PRD02194,2024-04-20,588,homepage
USR00054,PRD02853,2021-04-05,204,ad
USR00054,PRD02167,2023-09-05,148,ad
USR00054,PRD01602,2021-10-02,131,email
USR00054,PRD02066,2023-12-02,176,social
USR00054,PRD00847,2024-10-10,81,ad
USR00054,PRD01104,2022-09-24,577,email
USR00054,PRD02946,2024-11-24,324,email
USR00054,PRD01600,2024-05-13,250,ad
USR00055,PRD01352,2025-02-22,486,homepage
USR00055,PRD01551,2021-04-11,294,recommendation
USR00055,PRD02500,2025-08-26,36,social
USR00056,PRD01441,2024-10-12,158,ad
USR00056,PRD02660,2021-09-17,545,search
USR00056,PRD00939,2024-04-14,40,social
USR00057,PRD00637,2022-12-02,245,recommendation
USR00058,PRD01021,2022-09-24,571,ad
USR00058,PRD01168,2023-06-26,105,homepage
USR00058,PRD01068,2022-09-11,600,email
USR00059,PRD02210,2023-10-16,185,email
USR00059,PRD02102,2023-01-04,425,recommendation
USR00059,PRD01495,2025-08-13,19,recommendation
USR00059,PRD02821,2021-10-01,536,recommendation
USR00059,PRD00971,2021-01-20,311,recommendation
USR00059,PRD01000,2024-08-29,314,homepage
USR00059,PRD01128,2023-05-08,276,ad
USR00059,PRD01474,2021-11-22,166,search
USR00060,PRD02509,2022-08-14,579,search
USR00060,PRD01447,2022-05-25,257,search
USR00060,PRD02668,2025-06-05,553,recommendation
USR00060,PRD01206,2022-05-13,507,social
USR00061,PRD02615,2023-05-21,180,recommendation
USR00061,PRD02659,2024-03-02,312,ad
USR00061,PRD01404,2023-12-27,199,social
USR00062,PRD00761,2021-07-01,307,social
USR00062,PRD01433,2023-07-25,346,email
USR00062,PRD01611,2023-10-08,413,search
USR00062,PRD00709,2025-04-26,295,recommendation
USR00062,PRD00207,2025-10-10,83,search
USR00062,PRD01183,2022-02-02,188,ad
USR00063,PRD01301,2025-02-11,282,social
USR00064,PRD00917,2023-09-05,173,search
USR00065,PRD02273,2023-12-04,453,social
USR00065,PRD01275,2022-09-01,83,direct
USR00065,PRD01438,2025-08-06,53,recommendation
USR00065,PRD01645,2024-02-17,146,social
USR00065,PRD01602,2025-01-28,58,email
USR00065,PRD01030,2023-12-30,344,ad
USR00065,PRD00768,2024-03-06,527,email
USR00065,PRD01887,2025-04-25,380,recommendation
USR00066,PRD00578,2021-11-22,559,homepage
USR00066,PRD02322,2021-12-16,321,email
USR00066,PRD00757,2025-08-29,26,direct
USR00066,PRD02181,2021-07-06,483,homepage
USR00066,PRD02032,2025-10-05,380,direct
USR00067,PRD00556,2023-02-07,523,social
USR00067,PRD00913,2024-04-25,322,homepage
USR00067,PRD01408,2024-03-14,400,homepage
USR00067,PRD00940,2023-07-05,305,search
USR00067,PRD02819,2021-06-23,112,ad
USR00067,PRD00741,2021-08-11,258,social
USR00068,PRD00480,2021-08-12,415,email
USR00068,PRD00826,2023-06-25,272,direct
USR00068,PRD02475,2023-10-13,446,ad
USR00068,PRD00723,2025-10-06,180,search
USR00068,PRD00718,2021-07-14,345,recommendation
USR00068,PRD01252,2021-09-22,253,social
USR00069,PRD02630,2022-07-01,459,recommendation
USR00069,PRD02210,2022-07-10,215,email
USR00069,PRD01145,2021-01-07,133,direct
USR00069,PRD01998,2024-09-02,562,ad
USR00070,PRD01556,2024-07-27,134,direct
USR00071,PRD02460,2025-06-15,149,homepage
USR00072,PRD01380,2021-07-26,375,social
USR00072,PRD02553,2022-11-23,372,homepage
USR00072,PRD00895,2021-04-20,269,recommendation
USR00072,PRD02768,2024-09-04,116,direct
USR00072,PRD01031,2021-11-27,311,email
USR00072,PRD02344,2023-06-12,218,email
USR00072,PRD00394,2021-03-18,598,ad
USR00072,PRD02397,2024-06-02,415,recommendation
USR00073,PRD00687,2022-06-10,378,email
USR00073,PRD02208,2024-01-05,80,social
USR00074,PRD00504,2021-08-07,148,social
USR00074,PRD00317,2024-04-25,465,ad
USR00075,PRD00595,2023-05-28,281,search
USR00075,PRD00290,2025-05-05,95,email
USR00075,PRD02816,2021-10-07,217,ad
USR00075,PRD01040,2024-09-03,438,email
USR00075,PRD00067,2022-04-23,538,search
USR00076,PRD00502,2022-04-26,107,email
USR00077,PRD02140,2023-09-07,97,social
USR00077,PRD00229,2022-04-19,430,ad
USR00078,PRD00305,2022-04-06,276,email
USR00078,PRD02485,2021-11-10,113,ad
USR00078,PRD02344,2021-03-30,231,direct
USR00078,PRD00595,2025-03-11,534,direct
USR00079,PRD02590,2021-08-20,497,ad
USR00079,PRD00329,2023-11-15,325,email
USR00079,PRD00137,2023-02-18,487,search
USR00079,PRD01125,2023-12-27,541,search
USR00079,PRD01495,2024-12-12,243,homepage
USR00079,PRD00131,2024-12-05,109,search
USR00079,PRD02867,2023-08-19,239,ad
USR00079,PRD02762,2023-01-13,370,social
USR00080,PRD00316,2025-07-23,29,email
USR00080,PRD00616,2025-12-14,92,homepage
USR00080,PRD02101,2025-07-31,518,social
USR00080,PRD02725,2021-08-19,427,ad
USR00081,PRD00149,2022-05-31,589,email
USR00081,PRD00985,2025-03-04,428,recommendation
USR00081,PRD02960,2021-02-17,558,direct
USR00081,PRD02052,2025-08-13,166,social
USR00081,PRD00027,2022-02-28,105,search
USR00082,PRD00038,2025-12-27,68,social
USR00082,PRD02669,2021-08-19,418,email
USR00082,PRD01582,2023-06-07,354,direct
USR00082,PRD02627,2021-04-24,576,recommendation
USR00082,PRD01657,2025-12-08,150,recommendation
USR00082,PRD01342,2022-11-20,349,homepage
USR00082,PRD02120,2025-12-26,94,direct
USR00083,PRD02524,2021-03-16,278,homepage
USR00084,PRD01628,2022-10-09,567,recommendation
USR00084,PRD00387,2022-05-16,489,ad
USR00084,PRD02523,2023-09-20,169,email
USR00084,PRD01328,2025-09-11,264,ad
USR00084,PRD01454,2023-12-11,87,recommendation
USR00084,PRD00942,2021-01-13,154,homepage
USR00085,PRD01430,2024-05-31,587,ad
USR00085,PRD00638,2023-09-21,284,ad
USR00085,PRD01645,2024-09-24,437,homepage
USR00085,PRD02736,2021-08-02,424,ad
USR00085,PRD02849,2023-09-02,551,recommendation
USR00086,PRD01350,2025-04-03,462,ad
USR00086,PRD01711,2021-01-12,342,social
USR00086,PRD01939,2024-02-07,123,email
USR00086,PRD01590,2022-03-13,13,homepage
USR00086,PRD02475,2023-03-11,286,search
USR00086,PRD02111,2021-09-16,101,social
USR00087,PRD02347,2023-01-27,552,ad
USR00087,PRD02685,2021-03-18,418,recommendation
USR00087,PRD01370,2024-05-07,443,homepage
USR00087,PRD00381,2023-12-30,542,email
USR00087,PRD02617,2021-08-23,548,email
USR00088,PRD00782,2025-12-26,360,search
USR00088,PRD02411,2023-06-14,25,ad
USR00088,PRD02332,2023-01-30,523,email
USR00089,PRD01364,2025-11-18,22,recommendation
USR00090,PRD02067,2021-07-14,311,direct
USR00090,PRD01871,2024-03-30,111,homepage
USR00090,PRD00754,2023-01-27,122,recommendation
USR00090,PRD01955,2022-11-29,227,social
USR00090,PRD00170,2024-04-12,123,recommendation
USR00090,PRD02211,2024-11-16,531,recommendation
USR00091,PRD00543,2023-12-17,102,direct
USR00092,PRD01053,2021-07-24,116,ad
USR00093,PRD02454,2023-08-11,179,social
USR00094,PRD02780,2023-03-17,167,recommendation
USR00094,PRD02293,2022-09-06,37,direct
USR00094,PRD01197,2021-02-05,599,homepage
USR00094,PRD01018,2025-10-14,455,homepage
USR00095,PRD01570,2021-03-10,574,ad
USR00095,PRD02965,2021-01-22,525,homepage
USR00095,PRD02194,2023-06-24,190,ad
USR00096,PRD02196,2024-02-14,382,email
USR00096,PRD02790,2024-11-12,342,email
USR00096,PRD01719,2023-01-24,308,direct
USR00096,PRD02173,2023-05-19,146,search
USR00097,PRD02841,2024-09-06,393,homepage
USR00097,PRD01556,2025-03-22,349,social
USR00097,PRD00161,2021-01-25,17,direct
USR00098,PRD02255,2024-09-16,98,email
USR00098,PRD02286,2025-10-05,369,social
USR00098,PRD02747,2024-12-05,321,search
USR00098,PRD01703,2022-12-12,123,search
USR00098,PRD01776,2025-11-02,205,social
USR00099,PRD00417,2024-02-29,480,homepage
USR00099,PRD00928,2021-04-09,523,email
USR00099,PRD02087,2024-06-18,252,social
USR00099,PRD01978,2023-10-07,457,direct
USR00100,PRD01229,2025-08-05,196,recommendation
USR00101,PRD02328,2024-04-19,355,homepage
USR00101,PRD02393,2021-04-19,248,search
USR00102,PRD02487,2023-01-18,436,social
USR00102,PRD01216,2024-11-30,382,social
USR00102,PRD02021,2022-09-17,121,recommendation
USR00102,PRD01326,2021-08-05,547,email
USR00102,PRD00895,2023-03-21,377,search
USR00102,PRD01530,2025-11-04,530,recommendation
USR00102,PRD01163,2022-05-04,303,recommendation
USR00103,PRD00055,2021-11-12,113,homepage
USR00103,PRD01201,2025-12-01,575,homepage
USR00103,PRD00226,2021-12-21,292,email
USR00104,PRD00810,2023-10-23,248,homepage
USR00104,PRD02104,2021-04-30,192,social
USR00104,PRD02579,2023-08-16,222,recommendation
USR00104,PRD00951,2024-09-05,267,search
USR00105,PRD01812,2022-04-27,455,ad
USR00105,PRD00302,2023-08-03,562,recommendation
USR00106,PRD02135,2023-10-01,356,social
USR00106,PRD01571,2024-08-23,186,ad
USR00106,PRD02278,2022-11-03,490,recommendation
USR00106,PRD00799,2022-03-08,102,ad
USR00106,PRD00453,2023-04-30,291,email
USR00106,PRD02194,2024-04-28,413,search
USR00107,PRD01370,2022-01-20,441,ad
USR00108,PRD02003,2022-08-05,199,homepage
USR00109,PRD02531,2021-01-12,483,recommendation
USR00110,PRD01226,2025-05-07,248,direct
USR00111,PRD00397,2023-01-20,586,ad
USR00111,PRD02350,2024-06-30,568,ad
USR00111,PRD02667,2023-10-22,491,search
USR00111,PRD01090,2023-04-12,135,social
USR00112,PRD01351,2024-05-20,260,homepage
USR00112,PRD01548,2023-10-31,520,direct
USR00113,PRD00187,2021-08-23,115,direct
USR00113,PRD02998,2023-04-21,12,email
USR00113,PRD01146,2021-06-20,398,ad
USR00113,PRD01585,2023-11-11,88,direct
USR00114,PRD01408,2025-01-28,505,direct
USR00114,PRD01754,2022-05-05,78,search
USR00114,PRD02327,2025-05-06,455,ad
USR00114,PRD02413,2021-12-15,127,social
USR00115,PRD00353,2024-11-27,421,search
USR00115,PRD02081,2024-01-05,482,recommendation
USR00115,PRD01473,2025-07-15,252,recommendation
USR00115,PRD00341,2023-12-07,466,social
USR00116,PRD00878,2023-11-30,351,social
USR00116,PRD01171,2025-04-08,471,email
USR00116,PRD02905,2021-10-12,416,email
USR00116,PRD02379,2022-12-08,50,homepage
USR00116,PRD01314,2022-12-08,530,social
USR00116,PRD02543,2021-03-27,350,homepage
USR00116,PRD00799,2021-11-29,331,recommendation
USR00117,PRD01424,2024-06-01,496,direct
USR00117,PRD01277,2025-04-07,564,ad
USR00117,PRD02734,2025-08-19,562,email
USR00117,PRD01608,2024-05-15,459,search
USR00117,PRD01254,2022-01-11,188,ad
USR00117,PRD00164,2021-11-25,315,recommendation
USR00117,PRD01371,2024-09-19,540,social
USR00117,PRD00223,2021-12-17,230,direct
USR00118,PRD00139,2024-12-19,138,recommendation
USR00118,PRD00125,2021-10-25,270,direct
USR00118,PRD00461,2025-10-24,525,email
USR00118,PRD02349,2024-01-08,500,social
USR00118,PRD01332,2024-04-21,160,social
USR00118,PRD02862,2025-02-02,404,social
USR00118,PRD01780,2023-10-08,122,recommendation
USR00118,PRD02354,2021-06-10,446,social
USR00119,PRD02282,2024-11-30,20,search
USR00119,PRD01492,2024-09-03,593,social
USR00119,PRD02288,2022-10-31,107,search
USR00119,PRD00289,2024-07-24,109,social
USR00119,PRD01112,2024-10-10,157,recommendation
USR00119,PRD02577,2022-01-14,439,recommendation
USR00119,PRD00080,2022-10-07,79,email
USR00120,PRD02123,2024-02-28,143,search
USR00120,PRD02500,2021-07-27,490,recommendation
USR00120,PRD02371,2023-01-04,156,search
USR00120,PRD01154,2023-03-14,159,ad
USR00120,PRD00211,2024-05-29,514,ad
USR00120,PRD01406,2024-07-17,109,ad
USR00121,PRD01952,2023-04-17,435,recommendation
USR00121,PRD02822,2021-03-19,58,email
USR00121,PRD00534,2021-03-05,219,homepage
USR00121,PRD02886,2025-04-04,161,recommendation
USR00121,PRD02208,2025-10-16,384,ad
USR00121,PRD01829,2021-11-12,549,homepage
USR00121,PRD02107,2022-10-18,502,search
USR00121,PRD00578,2021-08-24,350,email
USR00122,PRD01523,2021-04-15,317,social
USR00122,PRD01615,2024-01-30,58,recommendation
USR00122,PRD02525,2024-01-22,470,ad
USR00122,PRD02885,2022-11-29,29,social
USR00122,PRD01191,2021-09-27,115,email
USR00122,PRD02836,2024-03-31,182,search
USR00123,PRD01933,2023-03-01,468,ad
USR00123,PRD02469,2023-06-21,507,search
USR00123,PRD01981,2022-11-05,247,search
USR00123,PRD02772,2021-02-26,396,search
USR00123,PRD02606,2023-07-23,514,social
USR00123,PRD02647,2024-06-02,292,recommendation
USR00123,PRD01046,2023-01-26,94,direct
USR00123,PRD02637,2023-09-14,42,homepage
USR00124,PRD00830,2023-03-11,527,email
USR00125,PRD01003,2025-07-26,82,search
USR00125,PRD01362,2024-02-11,263,homepage
USR00125,PRD02908,2021-03-31,121,homepage
USR00125,PRD00258,2022-05-15,291,social
USR00126,PRD01169,2022-01-05,138,email
USR00126,PRD01116,2025-04-18,225,recommendation
USR00126,PRD00595,2022-09-09,124,recommendation
USR00126,PRD00933,2024-04-21,541,ad
USR00126,PRD01109,2021-02-09,124,search
USR00126,PRD01250,2024-10-14,577,social
USR00126,PRD00042,2023-07-16,317,recommendation
USR00126,PRD02172,2023-10-22,61,search
USR00127,PRD01886,2023-05-16,242,email
USR00127,PRD02898,2024-07-13,519,email
USR00127,PRD00708,2025-12-28,571,ad
USR00128,PRD01300,2021-03-01,310,homepage
USR00128,PRD01112,2025-01-30,76,recommendation
USR00128,PRD01456,2022-01-08,588,social
USR00129,PRD01044,2022-01-20,12,ad
USR00129,PRD00248,2022-07-06,36,email
USR00130,PRD02139,2025-01-11,564,email
USR00130,PRD02678,2024-04-24,522,recommendation
USR00130,PRD01808,2022-10-19,594,recommendation
USR00130,PRD00358,2023-11-15,408,recommendation
USR00131,PRD00450,2022-06-01,27,ad
USR00131,PRD00774,2025-04-30,339,recommendation
USR00131,PRD02662,2022-06-23,30,ad
USR00131,PRD01658,2025-11-09,33,search
USR00131,PRD01380,2022-03-12,193,recommendation
USR00131,PRD02284,2025-04-13,486,ad
USR00131,PRD01215,2024-01-04,414,social
USR00132,PRD00281,2021-11-28,79,search
USR00132,PRD01712,2024-06-30,546,ad
USR00132,PRD00863,2023-01-26,481,email
USR00132,PRD01003,2024-04-19,453,social
USR00132,PRD02575,2022-06-16,91,homepage
USR00132,PRD02585,2023-06-30,58,social
USR00132,PRD02580,2022-05-12,304,recommendation
USR00133,PRD00869,2021-01-15,463,search
USR00133,PRD00428,2021-04-30,165,recommendation
USR00133,PRD02868,2025-12-28,153,direct
USR00133,PRD02452,2023-03-11,356,email
USR00133,PRD02748,2022-03-25,579,email
USR00133,PRD00956,2024-10-12,205,recommendation
USR00133,PRD00297,2025-06-20,464,direct
USR00133,PRD02802,2021-11-15,14,recommendation
USR00134,PRD01044,2025-01-20,394,recommendation
USR00135,PRD02238,2022-07-14,400,email
USR00135,PRD01551,2021-10-22,456,search
USR00135,PRD00839,2021-05-11,143,direct
USR00135,PRD01154,2021-04-08,115,homepage
USR00135,PRD02991,2022-01-10,411,recommendation
USR00135,PRD01005,2023-07-02,246,homepage
USR00135,PRD02316,2025-10-23,465,social
USR00135,PRD01505,2021-04-15,259,email
USR00136,PRD00740,2022-05-10,254,recommendation
USR00136,PRD01522,2025-07-03,273,social
USR00136,PRD02499,2024-09-12,193,search
USR00136,PRD02103,2023-02-18,479,direct
USR00136,PRD01343,2021-03-13,125,social
USR00136,PRD00978,2022-02-05,315,recommendation
