productId,userId,score,algorithm,generatedAt
PRD02414,USR00205,0.6123,pagerank,2023-02-06
PRD00983,USR01472,0.9949,node-similarity,2025-04-25
PRD02479,USR01324,0.9547,content-based,2023-11-08
PRD00333,USR00341,0.768,collaborative,2025-10-20
PRD01573,USR00238,0.7608,pagerank,2023-07-13
PRD02949,USR00116,0.8869,node-similarity,2023-05-03
PRD01373,USR00349,0.7759,collaborative,2023-07-06
PRD01051,USR01312,0.757,collaborative,2025-07-17
PRD01990,USR00147,0.9237,collaborative,2023-09-17
PRD01144,USR01471,0.963,pagerank,2025-04-11
PRD02987,USR00408,0.8476,hybrid,2024-08-25
PRD01527,USR00234,0.7445,collaborative,2024-04-18
PRD00724,USR00344,0.6957,hybrid,2024-08-31
PRD02309,USR00289,0.9148,pagerank,2023-01-02
PRD01883,USR01089,0.6306,content-based,2024-05-15
PRD02819,USR01128,0.5026,collaborative,2023-05-04
PRD01650,USR01049,0.634,content-based,2025-07-11
PRD01255,USR01214,0.9717,pagerank,2024-11-13
PRD00844,USR00424,0.7899,collaborative,2025-08-26
PRD01010,USR00245,0.9075,collaborative,2023-03-26
PRD02372,USR00163,0.7497,hybrid,2025-12-01
PRD00821,USR00934,0.6936,hybrid,2024-07-02
PRD02071,USR00749,0.5936,hybrid,2024-06-25
PRD02761,USR00260,0.8897,node-similarity,2025-05-09
PRD01012,USR00839,0.9755,content-based,2025-08-25
PRD00435,USR01252,0.7085,collaborative,2024-07-18
PRD02763,USR00288,0.8981,hybrid,2023-08-25
PRD01666,USR01302,0.858,node-similarity,2024-02-21
PRD01163,USR00664,0.5679,node-similarity,2024-03-05
PRD00002,USR00112,0.8808,content-based,2023-09-08
PRD02343,USR00983,0.7783,pagerank,2024-03-23
PRD01742,USR01010,0.8753,content-based,2023-01-12
PRD02648,USR01435,0.9919,node-similarity,2024-04-15
PRD00225,USR01308,0.5698,hybrid,2024-06-26
PRD01515,USR00500,0.5358,node-similarity,2025-08-22
PRD02370,USR00711,0.6886,node-similarity,2023-08-07
PRD00901,USR00916,0.8221,node-similarity,2023-02-21
PRD01476,USR00745,0.8955,hybrid,2024-05-18
PRD01037,USR00690,0.6403,collaborative,2024-01-05
PRD02640,USR00377,0.8211,node-similarity,2023-02-09
PRD00002,USR00840,0.6282,content-based,2024-11-04
PRD00163,USR00303,0.866,node-similarity,2023-07-22
PRD00740,USR01177,0.8754,hybrid,2025-05-28
PRD00124,USR00393,0.7173,node-similarity,2025-03-08
PRD02016,USR00239,0.8765,collaborative,2025-05-17
PRD02651,USR01385,0.556,hybrid,2025-04-16
PRD00645,USR00638,0.9007,node-similarity,2024-06-18
PRD02090,USR01486,0.6562,content-based,2025-09-10
PRD01991,USR00833,0.9567,node-similarity,2025-12-21
PRD01227,USR01445,0.788,node-similarity,2023-04-05
PRD01249,USR00576,0.9293,hybrid,2025-09-22
PRD01737,USR01488,0.9146,collaborative,2025-03-24
PRD01603,USR01456,0.7175,hybrid,2025-11-24
PRD00264,USR00569,0.8053,collaborative,2023-06-23
PRD02188,USR00587,0.8512,content-based,2025-12-25
PRD01160,USR00924,0.9162,pagerank,2024-11-04
PRD02892,USR00562,0.7635,node-similarity,2025-10-13
PRD02802,USR01090,0.5371,pagerank,2023-02-15
PRD00002,USR01393,0.8437,node-similarity,2023-06-13
PRD00887,USR00903,0.8136,collaborative,2023-09-14
PRD02689,USR00500,0.7564,node-similarity,2025-09-04
PRD00153,USR00466,0.6962,collaborative,2024-08-03
PRD02702,USR01046,0.5087,collaborative,2024-05-11
PRD02910,USR00916,0.541,hybrid,2024-10-16
PRD00473,USR00691,0.58,hybrid,2025-03-25
PRD01293,USR00463,0.6564,collaborative,2024-03-09
PRD01530,USR01246,0.9453,content-based,2023-09-07
PRD02583,USR01400,0.5435,content-based,2023-11-19
PRD00227,USR00694,0.9935,node-similarity,2025-04-25
PRD00144,USR01122,0.8357,collaborative,2023-08-05
PRD02392,USR01181,0.6714,node-similarity,2024-12-27
PRD01556,USR00347,0.5663,hybrid,2024-04-19
PRD00394,USR00944,0.6007,content-based,2024-12-29
PRD01216,USR00558,0.62,collaborative,2023-12-23
PRD02934,USR01345,0.5526,content-based,2023-11-06
PRD01933,USR00482,0.6378,node-similarity,2024-05-31
PRD00759,USR01392,0.7242,content-based,2023-06-27
PRD02277,USR01402,0.6991,node-similarity,2024-08-13
PRD01304,USR00186,0.7709,node-similarity,2024-04-16
PRD02137,USR01218,0.5044,content-based,2025-04-02
PRD00523,USR00805,0.9279,hybrid,2025-06-06
PRD01927,USR00302,0.6156,hybrid,2023-01-28
PRD00781,USR00047,0.8818,hybrid,2025-02-09
PRD00888,USR01388,0.98,node-similarity,2024-07-12
PRD02696,USR00280,0.9809,hybrid,2024-08-06
PRD00881,USR01311,0.604,collaborative,2024-02-01
PRD01864,USR00473,0.6274,collaborative,2025-03-25
PRD02031,USR00869,0.9875,node-similarity,2025-12-02
PRD00088,USR00661,0.9454,collaborative,2025-07-29
PRD01257,USR00942,0.6732,hybrid,2023-05-15
PRD01134,USR00160,0.8767,collaborative,2024-08-10
PRD00935,USR00347,0.8582,pagerank,2023-02-16
PRD00725,USR01339,0.537,node-similarity,2023-05-16
PRD01201,USR01440,0.8552,node-similarity,2024-05-22
PRD02766,USR01188,0.5984,node-similarity,2023-01-04
PRD01726,USR01154,0.6139,content-based,2023-01-08
PRD02165,USR01225,0.7773,collaborative,2025-07-09
PRD02441,USR00757,0.8462,pagerank,2023-12-16
PRD00355,USR01137,0.7207,collaborative,2024-07-22
PRD01000,USR00998,0.8621,collaborative,2025-08-29
PRD00907,USR01137,0.5241,pagerank,2025-01-03
PRD00010,USR01416,0.8927,hybrid,2025-04-15
PRD01385,USR00580,0.6545,node-similarity,2023-10-20
PRD00402,USR01324,0.6407,hybrid,2023-09-01
PRD02091,USR00671,0.811,content-based,2023-01-04
PRD00496,USR00789,0.7916,node-similarity,2025-11-29
PRD01400,USR01037,0.5267,content-based,2025-08-07
PRD01547,USR00552,0.5268,content-based,2024-05-16
PRD02991,USR00304,0.8892,content-based,2025-06-20
PRD01941,USR00368,0.9348,content-based,2025-11-26
PRD02794,USR01135,0.9844,content-based,2025-04-13
PRD00481,USR01286,0.9071,collaborative,2023-11-26
PRD00653,USR00227,0.9762,node-similarity,2025-06-23
PRD02387,USR00631,0.7533,collaborative,2025-11-01
PRD01834,USR00503,0.7448,hybrid,2025-05-13
PRD00846,USR01178,0.8454,collaborative,2023-07-03
PRD02950,USR00850,0.8396,pagerank,2023-08-22
PRD01902,USR00089,0.6894,collaborative,2023-01-09
PRD02324,USR00943,0.8786,hybrid,2025-07-10
PRD01083,USR00987,0.7367,node-similarity,2023-10-07
PRD00172,USR00487,0.9673,collaborative,2025-01-15
PRD01402,USR00109,0.7344,pagerank,2023-08-28
PRD01251,USR01185,0.6157,hybrid,2024-09-16
PRD00704,USR00207,0.5589,content-based,2023-02-08
PRD00543,USR00065,0.9876,content-based,2023-03-04
PRD02229,USR00692,0.9532,content-based,2023-05-17
PRD01628,USR00195,0.515,collaborative,2023-03-21
PRD02733,USR00898,0.5819,hybrid,2024-10-10
PRD00066,USR01061,0.9178,node-similarity,2025-09-22
PRD00377,USR01376,0.5475,collaborative,2025-10-20
PRD00001,USR00166,0.5069,hybrid,2025-03-17
PRD01713,USR00992,0.5613,pagerank,2023-10-15
PRD02041,USR00306,0.5184,pagerank,2025-06-21
PRD02970,USR01400,0.5855,content-based,2023-08-06
PRD02474,USR00664,0.5066,collaborative,2023-06-01
PRD00760,USR00148,0.9765,collaborative,2025-06-07
PRD02868,USR01012,0.536,collaborative,2024-04-18
PRD00124,USR00764,0.792,hybrid,2023-12-09
PRD02455,USR00567,0.8944,pagerank,2025-04-28
PRD02341,USR01275,0.8595,pagerank,2023-12-29
PRD00938,USR00158,0.872,content-based,2023-12-06
PRD01476,USR00188,0.5626,pagerank,2023-01-06
PRD02578,USR00115,0.77,content-based,2023-06-01
PRD01425,USR01273,0.8123,collaborative,2023-09-27
PRD01344,USR00988,0.6487,node-similarity,2024-04-14
PRD01831,USR01307,0.7053,pagerank,2025-02-05
PRD02686,USR01460,0.6541,pagerank,2025-09-04
PRD02744,USR01405,0.6273,collaborative,2023-08-15
PRD00832,USR00210,0.704,pagerank,2023-06-10
PRD02222,USR00524,0.8922,pagerank,2023-03-24
PRD02666,USR01103,0.9887,hybrid,2023-12-11
PRD02569,USR00445,0.6201,node-similarity,2024-11-28
PRD01184,USR00825,0.8792,hybrid,2025-08-20
PRD02956,USR00825,0.6764,pagerank,2024-03-04
PRD01701,USR00261,0.9317,hybrid,2023-07-01
PRD01407,USR01320,0.8112,pagerank,2023-04-09
PRD01674,USR00122,0.8077,content-based,2025-11-26
PRD02496,USR00921,0.678,collaborative,2024-02-09
PRD00070,USR01278,0.6758,collaborative,2025-04-24
PRD00942,USR01404,0.8542,hybrid,2023-08-24
PRD02078,USR00365,0.9236,content-based,2025-05-02
PRD01987,USR01156,0.9279,pagerank,2023-07-29
PRD02267,USR00005,0.7559,collaborative,2025-07-29
PRD00695,USR00077,0.5838,content-based,2024-12-05
PRD00793,USR01152,0.6748,pagerank,2023-09-16
PRD01025,USR00042,0.5771,collaborative,2024-02-19
PRD02141,USR01219,0.8137,collaborative,2025-04-19
PRD01085,USR00690,0.9229,node-similarity,2025-12-30
PRD01983,USR00071,0.7459,pagerank,2024-11-29
PRD00945,USR01420,0.9625,content-based,2024-11-10
PRD02614,USR00544,0.5699,hybrid,2023-08-24
PRD01994,USR00394,0.7416,node-similarity,2025-10-20
PRD01451,USR01189,0.5785,pagerank,2024-12-09
PRD00005,USR00831,0.7953,node-similarity,2024-12-01
PRD00877,USR01097,0.7288,collaborative,2024-08-04
PRD02821,USR01008,0.8529,collaborative,2023-09-12
PRD00768,USR00137,0.7699,pagerank,2025-05-16
PRD01617,USR00281,0.9102,node-similarity,2025-08-21
PRD02645,USR00319,0.6178,content-based,2024-03-18
PRD02854,USR01403,0.7172,node-similarity,2023-12-20
PRD00851,USR00014,0.7726,hybrid,2025-08-19
PRD00879,USR01004,0.7935,collaborative,2025-02-12
PRD02628,USR01378,0.5693,hybrid,2023-09-29
PRD00475,USR01130,0.8675,hybrid,2023-03-23
PRD02016,USR01180,0.6266,collaborative,2025-08-30
PRD00198,USR01022,0.5277,node-similarity,2024-12-26
PRD00673,USR00454,0.677,pagerank,2024-08-02
PRD02229,USR00010,0.6403,content-based,2025-06-01
PRD02178,USR00168,0.8283,pagerank,2024-04-21
PRD00791,USR00496,0.8654,pagerank,2025-04-24
PRD01483,USR01057,0.852,hybrid,2025-03-07
PRD02622,USR00200,0.9732,hybrid,2025-06-15
PRD02212,USR01017,0.6977,hybrid,2024-12-22
PRD02816,USR00490,0.9561,content-based,2025-04-30
PRD00059,USR00993,0.8025,node-similarity,2023-08-02
PRD02435,USR00384,0.818,pagerank,2025-11-28
PRD01999,USR00688,0.6632,node-similarity,2025-11-13
PRD02594,USR00838,0.7285,hybrid,2025-09-16
PRD00406,USR00053,0.7319,collaborative,2024-02-10
PRD02863,USR00808,0.7254,collaborative,2023-04-20
PRD00119,USR01062,0.9187,node-similarity,2024-09-17
PRD02032,USR01430,0.9645,pagerank,2024-02-11
PRD00556,USR00329,0.6164,hybrid,2024-06-01
PRD00505,USR00869,0.6063,content-based,2023-07-23
PRD02709,USR00359,0.7517,collaborative,2023-01-03
PRD00028,USR00558,0.6503,pagerank,2025-12-10
PRD02865,USR00430,0.9303,pagerank,2025-10-05
PRD01440,USR00347,0.7125,pagerank,2023-12-10
PRD02851,USR00519,0.8068,node-similarity,2023-10-03
PRD02728,USR01056,0.9752,hybrid,2023-06-30
PRD02709,USR01372,0.8534,collaborative,2025-10-09
PRD01578,USR00742,0.5427,content-based,2023-01-29
PRD02977,USR00584,0.8628,pagerank,2025-03-08
PRD01562,USR01110,0.6951,hybrid,2024-10-13
PRD02094,USR01476,0.9904,collaborative,2023-08-16
PRD02028,USR00423,0.7343,node-similarity,2025-03-07
PRD00160,USR00518,0.922,hybrid,2024-02-25
PRD02276,USR00334,0.8089,content-based,2025-05-19
PRD01216,USR00331,0.718,collaborative,2023-10-10
PRD01269,USR00447,0.5297,node-similarity,2023-06-15
PRD00255,USR00666,0.9572,content-based,2023-10-10
PRD01710,USR00825,0.5826,collaborative,2025-10-22
PRD01145,USR00166,0.8362,content-based,2024-08-31
PRD02085,USR01390,0.5776,pagerank,2024-06-04
PRD02347,USR01164,0.9849,collaborative,2023-02-11
PRD02573,USR00408,0.9255,hybrid,2024-05-10
PRD01639,USR00049,0.5022,node-similarity,2024-11-02
PRD02986,USR00343,0.7914,content-based,2024-02-28
PRD02395,USR01218,0.7788,content-based,2023-07-22
PRD01560,USR00144,0.6978,node-similarity,2023-10-09
PRD00503,USR00954,0.7858,node-similarity,2023-07-24
PRD00454,USR00577,0.9545,content-based,2025-03-26
PRD00020,USR01111,0.8152,content-based,2024-06-24
PRD01127,USR00290,0.8866,hybrid,2023-06-09
PRD00311,USR00057,0.8129,hybrid,2024-06-02
PRD02279,USR00610,0.6184,content-based,2023-02-12
PRD02766,USR00335,0.5026,pagerank,2025-10-03
PRD00163,USR01462,0.9082,collaborative,2023-01-08
PRD02017,USR00832,0.8471,node-similarity,2023-05-05
PRD02559,USR00496,0.7807,hybrid,2024-05-24
PRD02944,USR00914,0.72,node-similarity,2024-05-19
PRD00267,USR00298,0.5956,collaborative,2025-05-18
PRD00968,USR00004,0.7168,collaborative,2025-11-23
PRD01981,USR00640,0.8124,node-similarity,2023-02-14
PRD00763,USR00662,0.8082,content-based,2023-11-11
PRD01427,USR01270,0.6436,hybrid,2025-09-26
PRD02611,USR00439,0.8181,hybrid,2025-05-01
PRD02632,USR00345,0.6021,content-based,2023-12-07
PRD01108,USR01481,0.6608,pagerank,2025-02-14
PRD02186,USR00427,0.9161,content-based,2024-01-07
PRD00491,USR00245,0.7464,collaborative,2025-10-23
PRD00161,USR00417,0.8868,pagerank,2024-11-27
PRD01011,USR01095,0.9781,collaborative,2025-10-23
PRD01185,USR00537,0.9153,hybrid,2025-06-06
PRD01750,USR00595,0.5196,hybrid,2023-02-07
PRD01327,USR01157,0.5683,content-based,2025-01-04
PRD02057,USR00444,0.8244,collaborative,2025-03-19
PRD02621,USR00490,0.516,content-based,2023-03-02
PRD02555,USR01046,0.658,hybrid,2025-03-08
PRD00140,USR00988,0.5851,pagerank,2023-04-20
PRD02443,USR00398,0.8612,hybrid,2025-04-18
PRD00784,USR00537,0.7021,hybrid,2025-03-09
PRD01898,USR00041,0.84,node-similarity,2024-04-27
PRD01077,USR00763,0.8902,hybrid,2023-07-25
PRD00532,USR01425,0.5219,node-similarity,2023-09-16
PRD00398,USR01332,0.6061,node-similarity,2023-09-06
PRD01853,USR00393,0.6985,collaborative,2025-10-21
PRD00214,USR01024,0.8758,node-similarity,2024-10-28
PRD00480,USR00080,0.8062,node-similarity,2025-04-13
PRD00980,USR00605,0.9214,node-similarity,2023-04-13
PRD02907,USR01099,0.8073,collaborative,2025-12-29
PRD02692,USR00485,0.885,collaborative,2025-01-17
PRD00179,USR00236,0.5406,collaborative,2023-07-21
PRD01609,USR00104,0.9738,collaborative,2023-01-26
PRD02136,USR00009,0.5596,pagerank,2025-04-16
PRD00206,USR00860,0.6411,collaborative,2023-08-30
PRD00568,USR00437,0.8298,hybrid,2024-08-15
PRD02936,USR01318,0.925,hybrid,2024-09-09
PRD00994,USR00488,0.6612,pagerank,2024-01-29
PRD00648,USR00162,0.897,content-based,2023-05-27
PRD02713,USR00559,0.893,content-based,2023-09-30
PRD02771,USR00736,0.542,hybrid,2023-02-23
PRD02078,USR01095,0.9285,collaborative,2023-02-28
PRD02454,USR00290,0.7491,node-similarity,2024-12-17
PRD01162,USR00960,0.9816,content-based,2023-07-04
PRD02483,USR00743,0.5669,collaborative,2023-07-30
PRD01366,USR00945,0.7146,pagerank,2025-03-27
PRD00607,USR00598,0.6581,collaborative,2025-08-24
PRD01664,USR00187,0.6649,collaborative,2023-01-31
PRD02148,USR00762,0.9519,pagerank,2025-09-04
PRD01478,USR00104,0.7532,node-similarity,2024-06-29
PRD02801,USR00233,0.9443,hybrid,2025-04-12
PRD02041,USR00147,0.517,node-similarity,2025-03-17
PRD01527,USR00775,0.5035,pagerank,2025-08-21
PRD02981,USR01308,0.9177,content-based,2025-06-06
PRD00109,USR01158,0.5533,hybrid,2024-05-04
PRD02432,USR00709,0.5599,hybrid,2024-04-26
PRD00686,USR01371,0.5502,collaborative,2025-02-25
PRD00219,USR00483,0.774,hybrid,2025-02-20
PRD02548,USR00302,0.5915,content-based,2024-05-15
PRD02296,USR00869,0.7692,pagerank,2023-08-18
PRD00636,USR00678,0.6139,content-based,2024-08-15
PRD00252,USR00477,0.5554,content-based,2023-01-28
PRD00580,USR00133,0.777,hybrid,2024-11-15
PRD02052,USR00011,0.5471,pagerank,2024-01-12
PRD02710,USR01122,0.6733,content-based,2023-04-18
PRD02488,USR01364,0.5728,hybrid,2023-09-21
PRD01954,USR01289,0.8613,content-based,2024-08-05
PRD00944,USR00668,0.6059,content-based,2025-12-22
PRD02950,USR00019,0.8885,collaborative,2024-12-07
PRD01541,USR00614,0.7491,hybrid,2024-03-14
PRD01913,USR00456,0.7236,pagerank,2023-08-26
PRD02344,USR00634,0.5844,collaborative,2023-05-31
PRD02745,USR01102,0.5726,node-similarity,2023-02-20
PRD01178,USR00110,0.7161,content-based,2023-04-16
PRD00347,USR01165,0.996,pagerank,2023-03-29
PRD00814,USR00959,0.9451,pagerank,2024-06-26
PRD00141,USR01049,0.7192,pagerank,2023-10-21
PRD02409,USR00063,0.5749,node-similarity,2023-12-20
PRD01065,USR01294,0.9586,collaborative,2024-03-18
PRD01871,USR00121,0.9929,content-based,2025-10-22
PRD02017,USR01039,0.9691,content-based,2023-05-22
PRD01982,USR00838,0.7421,pagerank,2023-11-26
PRD00131,USR00231,0.8651,node-similarity,2023-07-12
PRD02808,USR00828,0.7793,collaborative,2025-09-17
PRD01989,USR00071,0.565,collaborative,2025-05-20
PRD01353,USR00501,0.5766,collaborative,2025-03-28
PRD02794,USR01030,0.6419,pagerank,2025-07-24
PRD02165,USR01473,0.7177,content-based,2024-09-18
PRD02752,USR00002,0.5405,node-similarity,2024-06-05
PRD00709,USR01168,0.848,content-based,2025-09-17
PRD00925,USR00692,0.5788,content-based,2024-10-04
PRD02855,USR00571,0.9097,pagerank,2025-04-23
PRD00097,USR01457,0.9198,collaborative,2023-07-22
PRD00061,USR00603,0.8901,pagerank,2023-08-10
PRD01995,USR00257,0.5527,node-similarity,2024-01-20
PRD00764,USR00117,0.9234,hybrid,2024-11-15
PRD00743,USR01095,0.6414,hybrid,2023-04-21
PRD02152,USR01089,0.5094,pagerank,2023-09-30
PRD02025,USR00908,0.5219,hybrid,2024-02-12
PRD02882,USR01443,0.6102,collaborative,2025-06-06
PRD01298,USR00194,0.6062,collaborative,2024-01-14
PRD01864,USR00592,0.6533,hybrid,2024-04-04
PRD00973,USR00527,0.9507,content-based,2025-02-13
PRD02711,USR00238,0.9963,content-based,2023-09-10
PRD01322,USR01077,0.9655,collaborative,2024-09-25
PRD01064,USR00553,0.5452,node-similarity,2023-07-03
PRD02034,USR00539,0.7788,content-based,2025-01-11
PRD00077,USR00448,0.6296,content-based,2023-10-21
PRD01027,USR01338,0.6278,pagerank,2024-01-11
PRD00046,USR00666,0.57,node-similarity,2024-06-04
PRD00588,USR00891,0.6301,pagerank,2023-07-31
PRD02123,USR00050,0.8603,pagerank,2025-04-18
PRD01355,USR00192,0.6999,content-based,2025-11-29
PRD01036,USR00443,0.5391,hybrid,2023-04-09
PRD00994,USR00617,0.7186,content-based,2023-05-06
PRD00120,USR00454,0.7499,hybrid,2025-07-04
PRD02168,USR01414,0.5277,content-based,2025-06-18
PRD01966,USR01390,0.7151,content-based,2023-06-30
PRD00429,USR00927,0.8916,hybrid,2023-05-02
PRD00521,USR00713,0.7866,node-similarity,2025-02-03
PRD01301,USR00069,0.8558,pagerank,2023-11-28
PRD02597,USR00772,0.5202,node-similarity,2025-07-01
PRD02573,USR00202,0.5022,pagerank,2024-07-31
PRD01194,USR00137,0.9378,pagerank,2023-04-23
PRD02889,USR00888,0.5844,collaborative,2024-11-10
PRD00511,USR01059,0.8357,collaborative,2023-11-15
PRD00707,USR00434,0.5678,pagerank,2024-07-04
PRD01403,USR00513,0.9891,hybrid,2025-07-03
PRD02167,USR00928,0.5916,collaborative,2023-08-08
PRD00973,USR00311,0.9257,content-based,2024-12-30
PRD01128,USR00341,0.7992,content-based,2023-07-10
PRD02407,USR00519,0.8753,collaborative,2024-05-27
PRD02624,USR01066,0.8461,content-based,2025-09-13
PRD02670,USR00716,0.514,pagerank,2024-07-22
