fromProductId,toProductId,similarityScore,algorithm,computedAt
PRD00040,PRD00036,0.9108,hybrid,2022-07-15
PRD00040,PRD00048,0.8995,content-based,2023-09-17
PRD00040,PRD00032,0.671,content-based,2024-05-31
PRD00041,PRD00048,0.6267,content-based,2025-05-15
PRD00042,PRD00040,0.926,content-based,2022-01-21
PRD00042,PRD00048,0.8763,hybrid,2022-01-10
PRD00042,PRD00033,0.83,collaborative,2025-11-23
PRD00043,PRD00045,0.5889,collaborative,2024-12-28
PRD00043,PRD00036,0.9794,content-based,2022-09-10
PRD00043,PRD00052,0.8729,pagerank,2022-08-08
PRD00044,PRD00041,0.6091,pagerank,2024-06-09
PRD00044,PRD00048,0.9592,node-similarity,2022-02-19
PRD00044,PRD00050,0.9711,collaborative,2022-03-03
PRD00045,PRD00035,0.6391,node-similarity,2023-12-02
PRD00045,PRD00037,0.7547,collaborative,2022-12-17
PRD00045,PRD00046,0.851,collaborative,2022-07-11
PRD00046,PRD00035,0.8175,collaborative,2023-01-10
PRD00046,PRD00048,0.6859,content-based,2025-05-26
PRD00046,PRD00056,0.7904,node-similarity,2025-01-04
PRD00047,PRD00040,0.8464,content-based,2024-06-15
PRD00047,PRD00048,0.9144,content-based,2023-04-17
PRD00047,PRD00045,0.939,pagerank,2024-12-05
PRD00048,PRD00031,0.604,pagerank,2022-08-13
PRD00048,PRD00052,0.7933,collaborative,2024-04-19
PRD00048,PRD00053,0.6101,collaborative,2022-07-06
PRD00049,PRD00033,0.7365,hybrid,2023-02-27
PRD00049,PRD00040,0.5676,hybrid,2023-11-06
PRD00049,PRD00051,0.7748,node-similarity,2022-05-14
PRD00050,PRD00054,0.7344,pagerank,2023-11-01
PRD00050,PRD00032,0.5987,collaborative,2025-03-20
PRD00050,PRD00038,0.58,pagerank,2024-03-08
PRD00051,PRD00054,0.9044,hybrid,2022-01-02
PRD00051,PRD00045,0.6598,pagerank,2023-09-07
PRD00051,PRD00033,0.5751,pagerank,2022-12-24
PRD00052,PRD00039,0.6253,pagerank,2024-11-23
PRD00052,PRD00044,0.6022,content-based,2022-05-19
PRD00052,PRD00030,0.8908,hybrid,2025-03-27
PRD00053,PRD00038,0.9263,node-similarity,2024-06-09
PRD00053,PRD00054,0.7022,pagerank,2024-08-16
PRD00054,PRD00055,0.9311,content-based,2022-11-29
PRD00054,PRD00031,0.7147,node-similarity,2023-03-03
PRD00054,PRD00038,0.7183,node-similarity,2023-04-14
PRD00055,PRD00039,0.6394,content-based,2022-05-25
PRD00056,PRD00045,0.6374,collaborative,2023-11-04
PRD00056,PRD00052,0.9363,node-similarity,2024-09-07
PRD00056,PRD00047,0.9729,node-similarity,2022-09-29
PRD00057,PRD00060,0.7798,content-based,2024-02-09
PRD00057,PRD00065,0.6383,node-similarity,2024-05-10
PRD00057,PRD00064,0.6952,pagerank,2023-03-20
PRD00058,PRD00064,0.5833,hybrid,2024-05-11
PRD00058,PRD00062,0.6366,hybrid,2024-10-11
PRD00058,PRD00069,0.9866,node-similarity,2025-12-11
PRD00059,PRD00080,0.885,node-similarity,2024-03-01
PRD00059,PRD00074,0.5893,hybrid,2022-03-09
PRD00059,PRD00072,0.9864,content-based,2025-12-09
PRD00060,PRD00058,0.7437,node-similarity,2022-11-07
PRD00060,PRD00075,0.8238,content-based,2025-08-26
PRD00060,PRD00068,0.6791,hybrid,2024-12-18
PRD00061,PRD00075,0.7637,hybrid,2022-06-18
PRD00061,PRD00080,0.8915,node-similarity,2023-10-07
PRD00061,PRD00065,0.7446,pagerank,2024-08-25
PRD00062,PRD00072,0.6802,pagerank,2022-11-06
PRD00062,PRD00078,0.7855,node-similarity,2023-11-21
PRD00062,PRD00066,0.7913,collaborative,2023-06-17
PRD00063,PRD00073,0.6014,content-based,2023-09-27
PRD00063,PRD00067,0.8517,content-based,2023-07-01
PRD00063,PRD00072,0.946,hybrid,2023-12-09
PRD00064,PRD00062,0.7023,hybrid,2024-09-17
PRD00064,PRD00059,0.8415,collaborative,2023-05-05
PRD00064,PRD00076,0.5837,collaborative,2024-04-19
PRD00065,PRD00074,0.5556,hybrid,2024-11-13
PRD00065,PRD00062,0.6804,hybrid,2022-09-22
PRD00066,PRD00059,0.8855,content-based,2025-09-16
PRD00066,PRD00069,0.6872,hybrid,2023-04-01
PRD00066,PRD00080,0.6625,content-based,2023-09-21
PRD00067,PRD00076,0.861,pagerank,2023-02-22
PRD00067,PRD00077,0.5563,hybrid,2023-10-28
PRD00067,PRD00078,0.7198,collaborative,2022-02-21
PRD00068,PRD00063,0.7517,content-based,2025-05-15
PRD00068,PRD00073,0.8923,hybrid,2024-04-26
PRD00068,PRD00077,0.7258,collaborative,2025-07-04
PRD00069,PRD00082,0.8086,hybrid,2022-11-10
PRD00069,PRD00067,0.8912,hybrid,2023-12-18
PRD00069,PRD00083,0.7419,content-based,2024-11-06
PRD00070,PRD00064,0.5517,hybrid,2025-03-26
PRD00070,PRD00073,0.6895,content-based,2022-11-04
PRD00070,PRD00074,0.9,hybrid,2025-12-10
PRD00071,PRD00065,0.8972,collaborative,2024-03-10
PRD00071,PRD00076,0.6557,hybrid,2024-04-06
PRD00071,PRD00073,0.9762,content-based,2025-05-23
PRD00072,PRD00076,0.8276,node-similarity,2022-09-21
PRD00072,PRD00074,0.8942,node-similarity,2022-01-16
PRD00072,PRD00081,0.9625,collaborative,2024-01-26
PRD00073,PRD00074,0.5902,pagerank,2023-03-07
PRD00073,PRD00062,0.5821,hybrid,2023-02-28
PRD00073,PRD00076,0.7264,collaborative,2023-04-27
PRD00074,PRD00068,0.8574,pagerank,2025-08-20
PRD00074,PRD00057,0.8158,node-similarity,2023-12-11
PRD00074,PRD00066,0.6052,pagerank,2024-05-01
PRD00075,PRD00067,0.8735,pagerank,2023-03-15
PRD00075,PRD00068,0.7621,hybrid,2024-07-18
PRD00075,PRD00073,0.7368,collaborative,2025-10-22
PRD00076,PRD00074,0.5636,hybrid,2024-03-19
PRD00076,PRD00081,0.8725,pagerank,2025-07-24
PRD00077,PRD00063,0.5888,node-similarity,2022-06-14
PRD00077,PRD00064,0.6158,content-based,2025-01-07
PRD00078,PRD00068,0.8362,collaborative,2025-02-21
PRD00078,PRD00083,0.5951,collaborative,2023-05-22
PRD00078,PRD00064,0.5895,hybrid,2023-03-10
PRD00079,PRD00076,0.5953,node-similarity,2025-04-23
PRD00079,PRD00069,0.8213,node-similarity,2022-01-08
PRD00079,PRD00067,0.9104,hybrid,2022-05-21
PRD00080,PRD00057,0.6035,hybrid,2022-06-30
PRD00081,PRD00070,0.5616,hybrid,2024-01-26
PRD00081,PRD00071,0.9536,collaborative,2024-08-15
PRD00082,PRD00076,0.8903,node-similarity,2024-09-22
PRD00082,PRD00080,0.9775,pagerank,2025-07-03
PRD00082,PRD00057,0.9466,content-based,2023-05-23
PRD00083,PRD00059,0.8288,content-based,2025-05-29
PRD00083,PRD00058,0.8473,pagerank,2023-05-18
PRD00083,PRD00084,0.8804,collaborative,2022-03-05
PRD00084,PRD00065,0.6498,hybrid,2022-06-02
PRD00084,PRD00082,0.7191,pagerank,2024-09-25
PRD00084,PRD00077,0.6957,hybrid,2023-03-10
PRD00085,PRD00116,0.8309,content-based,2022-10-26
PRD00085,PRD00099,0.6479,pagerank,2022-07-25
PRD00085,PRD00093,0.9633,hybrid,2024-05-30
PRD00086,PRD00099,0.8689,pagerank,2022-03-09
PRD00086,PRD00091,0.7094,node-similarity,2022-10-09
PRD00086,PRD00098,0.6391,pagerank,2024-03-08
PRD00087,PRD00106,0.6419,hybrid,2022-02-12
PRD00087,PRD00092,0.811,node-similarity,2025-05-03
PRD00087,PRD00091,0.7321,hybrid,2022-11-04
PRD00088,PRD00116,0.7871,hybrid,2023-02-17
PRD00088,PRD00102,0.6012,node-similarity,2024-06-28
PRD00088,PRD00085,0.9664,hybrid,2025-04-25
PRD00089,PRD00108,0.6537,collaborative,2024-03-20
PRD00089,PRD00093,0.776,node-similarity,2023-04-30
PRD00089,PRD00116,0.6968,hybrid,2025-12-29
PRD00090,PRD00107,0.8142,content-based,2022-06-18
PRD00090,PRD00101,0.5695,content-based,2025-02-20
PRD00090,PRD00109,0.9493,hybrid,2022-10-03
PRD00091,PRD00085,0.6459,collaborative,2024-09-01
PRD00091,PRD00092,0.6422,hybrid,2024-10-20
PRD00091,PRD00102,0.934,node-similarity,2022-10-06
PRD00092,PRD00085,0.7663,collaborative,2025-07-04
PRD00092,PRD00113,0.7976,node-similarity,2025-10-07
PRD00092,PRD00089,0.6531,node-similarity,2024-07-27
PRD00093,PRD00109,0.7121,pagerank,2024-09-29
PRD00093,PRD00102,0.931,content-based,2024-01-04
PRD00093,PRD00100,0.5954,hybrid,2024-02-29
PRD00094,PRD00112,0.942,hybrid,2024-04-04
PRD00094,PRD00100,0.7407,node-similarity,2025-05-22
PRD00094,PRD00111,0.7318,collaborative,2024-09-06
PRD00095,PRD00113,0.9405,pagerank,2023-02-20
PRD00095,PRD00111,0.976,node-similarity,2023-05-03
PRD00095,PRD00109,0.7212,hybrid,2024-05-28
PRD00096,PRD00087,0.9337,content-based,2022-06-27
PRD00096,PRD00108,0.9544,pagerank,2023-09-26
PRD00096,PRD00088,0.779,node-similarity,2025-08-05
PRD00097,PRD00114,0.9514,node-similarity,2024-01-17
PRD00097,PRD00101,0.8218,collaborative,2023-10-14
PRD00097,PRD00112,0.5925,content-based,2022-01-01
PRD00098,PRD00092,0.6217,hybrid,2022-05-12
PRD00098,PRD00095,0.5853,hybrid,2025-09-17
PRD00098,PRD00109,0.688,hybrid,2022-01-14
PRD00099,PRD00092,0.7724,node-similarity,2022-11-17
PRD00099,PRD00091,0.6819,node-similarity,2023-11-16
PRD00099,PRD00104,0.723,collaborative,2022-01-28
PRD00100,PRD00087,0.602,hybrid,2025-01-30
PRD00100,PRD00115,0.7667,hybrid,2024-06-20
PRD00101,PRD00085,0.9027,collaborative,2022-09-04
PRD00101,PRD00106,0.6457,node-similarity,2025-04-02
PRD00101,PRD00109,0.7818,collaborative,2025-01-06
PRD00102,PRD00109,0.8822,content-based,2022-10-25
PRD00102,PRD00089,0.6427,content-based,2025-11-28
PRD00102,PRD00099,0.6017,content-based,2023-10-23
PRD00103,PRD00099,0.9882,hybrid,2024-05-08
PRD00103,PRD00091,0.8935,pagerank,2025-06-04
PRD00103,PRD00111,0.6902,hybrid,2023-03-05
PRD00104,PRD00085,0.5701,collaborative,2023-07-29
PRD00104,PRD00094,0.604,hybrid,2024-04-07
PRD00104,PRD00101,0.8555,pagerank,2022-05-07
PRD00105,PRD00088,0.9536,collaborative,2024-02-11
PRD00105,PRD00085,0.8945,node-similarity,2023-05-09
PRD00105,PRD00103,0.9862,hybrid,2022-08-03
PRD00106,PRD00102,0.7653,pagerank,2024-01-13
PRD00106,PRD00095,0.9602,hybrid,2023-01-27
PRD00106,PRD00090,0.8136,hybrid,2025-02-21
PRD00107,PRD00101,0.7383,content-based,2024-10-02
PRD00107,PRD00105,0.825,pagerank,2022-05-06
PRD00107,PRD00093,0.9532,collaborative,2022-12-15
PRD00108,PRD00086,0.8708,hybrid,2023-02-07
PRD00108,PRD00104,0.8002,node-similarity,2024-06-23
PRD00109,PRD00094,0.709,pagerank,2023-01-17
PRD00109,PRD00089,0.7834,content-based,2024-07-18
PRD00110,PRD00102,0.6861,pagerank,2024-07-07
PRD00110,PRD00099,0.9401,hybrid,2024-03-04
PRD00110,PRD00105,0.741,node-similarity,2022-07-30
PRD00111,PRD00098,0.5863,pagerank,2022-01-15
PRD00111,PRD00113,0.6868,hybrid,2023-09-08
PRD00112,PRD00091,0.8453,collaborative,2022-07-01
PRD00112,PRD00111,0.8616,hybrid,2024-12-11
PRD00112,PRD00110,0.761,collaborative,2024-05-01
PRD00113,PRD00089,0.9452,collaborative,2023-07-14
PRD00113,PRD00100,0.6193,hybrid,2025-01-19
PRD00114,PRD00093,0.6151,hybrid,2025-04-15
PRD00114,PRD00113,0.7606,pagerank,2025-08-13
PRD00114,PRD00096,0.6093,pagerank,2023-02-18
PRD00115,PRD00106,0.9813,collaborative,2025-06-28
PRD00115,PRD00089,0.8015,collaborative,2022-06-28
PRD00115,PRD00110,0.8588,content-based,2023-10-30
PRD00116,PRD00111,0.5865,pagerank,2022-10-10
PRD00116,PRD00093,0.7559,content-based,2022-08-17
PRD00116,PRD00112,0.596,node-similarity,2025-01-23
PRD00117,PRD00118,0.9536,collaborative,2025-02-02
PRD00117,PRD00125,0.698,hybrid,2022-12-10
PRD00117,PRD00126,0.8023,node-similarity,2024-01-07
PRD00118,PRD00127,0.8462,collaborative,2025-07-12
PRD00118,PRD00128,0.7556,hybrid,2025-01-13
PRD00118,PRD00129,0.955,content-based,2024-06-22
PRD00119,PRD00130,0.7962,hybrid,2025-08-08
PRD00119,PRD00124,0.9254,collaborative,2022-03-22
PRD00119,PRD00117,0.9893,pagerank,2025-05-07
PRD00120,PRD00134,0.9354,collaborative,2023-07-16
PRD00120,PRD00117,0.6983,hybrid,2025-04-18
PRD00120,PRD00126,0.6839,hybrid,2022-03-17
PRD00121,PRD00119,0.7142,node-similarity,2023-05-27
PRD00121,PRD00132,0.7838,node-similarity,2025-07-17
PRD00121,PRD00122,0.6961,pagerank,2022-07-31
PRD00122,PRD00140,0.6459,pagerank,2024-05-20
PRD00122,PRD00123,0.6338,pagerank,2025-10-15
PRD00122,PRD00118,0.5649,pagerank,2025-05-28
PRD00123,PRD00131,0.743,pagerank,2025-09-02
PRD00123,PRD00124,0.756,content-based,2025-04-15
PRD00123,PRD00126,0.7057,pagerank,2024-06-12
PRD00124,PRD00135,0.9786,pagerank,2024-02-11
PRD00124,PRD00139,0.82,node-similarity,2022-08-07
PRD00124,PRD00117,0.916,node-similarity,2022-02-20
PRD00125,PRD00135,0.5979,hybrid,2023-03-16
PRD00125,PRD00127,0.7461,hybrid,2022-01-20
PRD00125,PRD00128,0.5656,pagerank,2024-03-26
PRD00126,PRD00139,0.7967,content-based,2023-08-07
PRD00126,PRD00138,0.601,pagerank,2025-10-24
PRD00126,PRD00129,0.8396,hybrid,2025-10-06
PRD00127,PRD00139,0.6009,collaborative,2025-02-28
PRD00127,PRD00136,0.7946,pagerank,2024-04-27
PRD00127,PRD00141,0.8152,hybrid,2022-06-25
PRD00128,PRD00134,0.6903,hybrid,2022-08-16
PRD00128,PRD00138,0.7026,hybrid,2024-03-24
PRD00128,PRD00122,0.777,node-similarity,2025-12-23
PRD00129,PRD00120,0.9179,content-based,2025-01-04
PRD00129,PRD00122,0.8918,hybrid,2023-10-02
PRD00130,PRD00134,0.8826,node-similarity,2024-05-18
PRD00130,PRD00128,0.7915,content-based,2023-03-20
PRD00130,PRD00135,0.5764,pagerank,2025-07-08
PRD00131,PRD00122,0.6051,content-based,2022-11-17
PRD00131,PRD00119,0.6291,content-based,2025-10-10
PRD00131,PRD00135,0.827,pagerank,2022-05-20
PRD00132,PRD00126,0.7442,pagerank,2023-08-18
PRD00132,PRD00135,0.8903,node-similarity,2022-05-23
PRD00133,PRD00129,0.8072,content-based,2025-09-27
PRD00133,PRD00123,0.7532,content-based,2025-03-21
PRD00133,PRD00118,0.8037,hybrid,2024-01-31
PRD00134,PRD00141,0.6683,collaborative,2022-09-30
PRD00134,PRD00133,0.8404,collaborative,2022-07-15
PRD00135,PRD00139,0.7321,node-similarity,2025-08-19
PRD00135,PRD00120,0.77,pagerank,2025-12-10
PRD00136,PRD00125,0.9279,node-similarity,2022-05-29
PRD00136,PRD00124,0.7756,hybrid,2025-06-30
PRD00136,PRD00132,0.6757,hybrid,2024-06-10
PRD00137,PRD00134,0.9453,node-similarity,2024-12-16
PRD00137,PRD00135,0.7824,node-similarity,2023-08-13
PRD00137,PRD00140,0.7488,node-similarity,2025-08-08
PRD00138,PRD00136,0.6672,content-based,2025-05-11
PRD00138,PRD00127,0.6175,node-similarity,2025-08-05
PRD00138,PRD00141,0.7371,hybrid,2023-02-01
PRD00139,PRD00121,0.6956,node-similarity,2022-12-14
PRD00139,PRD00140,0.9361,pagerank,2024-10-31
PRD00140,PRD00125,0.6938,content-based,2023-12-29
PRD00140,PRD00133,0.8712,collaborative,2023-11-07
PRD00140,PRD00117,0.5745,collaborative,2022-08-21
PRD00141,PRD00139,0.9422,pagerank,2025-07-18
PRD00141,PRD00123,0.8114,node-similarity,2023-01-06
PRD00141,PRD00122,0.7074,content-based,2023-12-25
PRD00142,PRD00145,0.7831,content-based,2023-12-25
PRD00142,PRD00158,0.7683,hybrid,2023-01-11
PRD00142,PRD00148,0.9562,hybrid,2024-12-30
PRD00143,PRD00157,0.9033,collaborative,2024-05-27
PRD00143,PRD00146,0.8683,collaborative,2024-10-07
PRD00143,PRD00154,0.5834,node-similarity,2023-03-27
PRD00144,PRD00161,0.6877,content-based,2025-01-10
PRD00144,PRD00158,0.8897,hybrid,2024-04-08
PRD00144,PRD00143,0.6379,pagerank,2022-11-10
PRD00145,PRD00156,0.6053,node-similarity,2024-11-01
PRD00145,PRD00153,0.9442,collaborative,2023-05-10
PRD00145,PRD00161,0.7421,node-similarity,2022-04-07
PRD00146,PRD00152,0.6794,node-similarity,2025-12-18
PRD00146,PRD00163,0.7606,node-similarity,2025-05-09
PRD00146,PRD00159,0.7077,content-based,2022-10-20
PRD00147,PRD00165,0.5894,node-similarity,2022-03-27
PRD00147,PRD00154,0.8304,pagerank,2025-04-07
PRD00147,PRD00155,0.7458,hybrid,2024-06-10
PRD00148,PRD00164,0.7803,collaborative,2023-09-17
PRD00148,PRD00159,0.905,hybrid,2024-06-20
PRD00148,PRD00161,0.6317,node-similarity,2022-03-15
PRD00149,PRD00160,0.9427,content-based,2022-04-01
PRD00149,PRD00164,0.5965,pagerank,2022-04-29
PRD00149,PRD00146,0.6212,node-similarity,2024-09-07
PRD00150,PRD00157,0.6926,collaborative,2022-05-05
PRD00150,PRD00160,0.9069,pagerank,2023-11-14
PRD00150,PRD00163,0.7462,collaborative,2023-08-09
PRD00151,PRD00159,0.7883,pagerank,2025-06-28
PRD00151,PRD00147,0.8054,content-based,2025-11-26
PRD00151,PRD00146,0.6002,pagerank,2024-08-02
PRD00152,PRD00161,0.6784,content-based,2025-03-11
PRD00152,PRD00145,0.7007,collaborative,2025-11-02
PRD00152,PRD00162,0.7754,pagerank,2023-12-15
PRD00153,PRD00148,0.6047,node-similarity,2024-10-23
PRD00153,PRD00156,0.7531,hybrid,2024-04-29
PRD00153,PRD00147,0.5904,collaborative,2025-09-01
PRD00154,PRD00157,0.9396,pagerank,2023-01-22
PRD00154,PRD00161,0.95,pagerank,2024-03-04
PRD00154,PRD00145,0.9074,content-based,2025-04-27
PRD00155,PRD00166,0.8068,hybrid,2025-05-20
PRD00155,PRD00152,0.8257,node-similarity,2025-06-04
PRD00155,PRD00165,0.671,hybrid,2022-08-11
PRD00156,PRD00163,0.6863,content-based,2023-09-07
PRD00156,PRD00154,0.848,pagerank,2025-07-31
PRD00156,PRD00160,0.9014,pagerank,2022-11-27
PRD00157,PRD00160,0.5909,collaborative,2025-02-17
PRD00157,PRD00163,0.8406,pagerank,2022-11-16
PRD00157,PRD00158,0.9689,pagerank,2025-10-23
PRD00158,PRD00154,0.7857,pagerank,2023-08-05
PRD00158,PRD00155,0.9271,content-based,2022-03-08
PRD00159,PRD00142,0.919,content-based,2023-03-22
PRD00159,PRD00153,0.9722,pagerank,2024-06-20
PRD00159,PRD00150,0.9888,hybrid,2023-05-26
PRD00160,PRD00162,0.5979,content-based,2024-04-15
PRD00161,PRD00166,0.9235,node-similarity,2022-03-31
PRD00161,PRD00163,0.9425,pagerank,2024-07-20
PRD00161,PRD00147,0.6391,hybrid,2023-01-13
PRD00162,PRD00147,0.892,node-similarity,2025-09-23
PRD00162,PRD00144,0.907,hybrid,2022-10-04
PRD00162,PRD00155,0.9004,pagerank,2025-03-07
PRD00163,PRD00152,0.9038,hybrid,2024-05-12
PRD00163,PRD00154,0.7256,collaborative,2023-06-06
PRD00163,PRD00149,0.9824,content-based,2022-09-27
PRD00164,PRD00165,0.9605,content-based,2023-06-07
PRD00164,PRD00157,0.851,hybrid,2024-07-20
PRD00165,PRD00150,0.553,pagerank,2022-08-10
PRD00165,PRD00160,0.68,node-similarity,2022-07-22
PRD00165,PRD00146,0.7099,node-similarity,2022-03-17
PRD00166,PRD00149,0.9757,hybrid,2023-06-11
PRD00166,PRD00165,0.8341,content-based,2022-06-23
PRD00167,PRD00183,0.5641,hybrid,2025-07-06
PRD00167,PRD00176,0.7339,content-based,2023-07-14
PRD00167,PRD00190,0.8307,content-based,2025-06-06
PRD00168,PRD00173,0.7678,pagerank,2025-07-30
PRD00168,PRD00189,0.8399,node-similarity,2023-01-20
PRD00168,PRD00186,0.8076,content-based,2024-08-08
PRD00169,PRD00172,0.8064,content-based,2023-04-07
PRD00169,PRD00188,0.9817,collaborative,2023-10-17
PRD00169,PRD00186,0.7368,content-based,2025-09-13
PRD00170,PRD00192,0.7967,node-similarity,2024-06-14
PRD00170,PRD00187,0.9523,hybrid,2022-03-24
PRD00170,PRD00182,0.9386,node-similarity,2022-08-01
PRD00171,PRD00185,0.7244,content-based,2024-12-19
PRD00171,PRD00172,0.6056,hybrid,2023-11-01
PRD00171,PRD00178,0.7068,content-based,2022-08-05
PRD00172,PRD00190,0.8093,node-similarity,2022-05-03
PRD00172,PRD00195,0.9792,pagerank,2024-08-06
PRD00172,PRD00180,0.656,collaborative,2025-06-01
PRD00173,PRD00182,0.674,pagerank,2025-06-16
