sellerId,name,email,rating,joinedAt,isVerified,country
SEL0076,FlexDepot,contact@flexdepot.com,4.17,2022-11-04,true,Guatemala
SEL0077,NextDirect,contact@nextdirect.com,3.72,2018-01-14,true,Costa Rica
SEL0078,BestDirect,contact@bestdirect.com,4.7,2019-02-19,true,Ecuador
SEL0079,TechRetail,contact@techretail.com,2.71,2018-02-21,false,Venezuela
SEL0080,EasyCenter,contact@easycenter.com,3.69,2023-09-29,false,Venezuela
SEL0081,TechMarket,contact@techmarket.com,3.05,2019-04-20,true,Chile
SEL0082,QuickPlus,contact@quickplus.com,3.88,2021-04-22,true,España
SEL0083,EasyDirect,contact@easydirect.com,4.26,2019-12-12,true,Chile
SEL0084,BestCenter,contact@bestcenter.com,4.3,2017-05-09,true,México
SEL0085,EasyWorld,contact@easyworld.com,3.04,2018-02-23,false,Chile
SEL0086,QuickRetail,contact@quickretail.com,3.21,2022-09-10,true,Panamá
SEL0087,FastExpress,contact@fastexpress.com,3.4,2018-07-20,true,Guatemala
SEL0088,EasyHub,contact@easyhub.com,2.61,2019-01-28,true,Ecuador
SEL0089,TopHub,contact@tophub.com,4.67,2023-02-25,false,México
SEL0090,TechDepot,contact@techdepot.com,3.67,2019-03-10,false,Perú
SEL0091,MaxShop,contact@maxshop.com,4.85,2018-10-31,false,México
SEL0092,UltraPro,contact@ultrapro.com,2.69,2021-07-07,true,Colombia
SEL0093,ProDepot,contact@prodepot.com,2.71,2019-05-29,true,México
SEL0094,EasySolutions,contact@easysolutions.com,3.99,2022-10-19,true,Costa Rica
SEL0095,RapidPro,contact@rapidpro.com,4.77,2021-01-19,true,Panamá
SEL0096,QuickSolutions,contact@quicksolutions.com,3.92,2019-06-04,true,Bolivia
SEL0097,SuperPlace,contact@superplace.com,3.03,2023-01-06,true,Colombia
SEL0098,SmartWorld,contact@smartworld.com,2.69,2022-03-10,true,España
SEL0099,FlexOutlet,contact@flexoutlet.com,3.23,2021-04-08,true,Chile
SEL0100,TopTrading,contact@toptrading.com,4.22,2016-10-18,true,Costa Rica
