reviewId,productId,rating,sentiment,helpfulVotes
REV00073,PRD00257,3,neutral,112
REV00074,PRD01976,2,negative,216
REV00075,PRD02481,2,negative,36
REV00076,PRD00728,5,positive,208
REV00077,PRD01096,2,negative,181
REV00078,PRD01381,4,positive,238
REV00079,PRD00967,4,positive,36
REV00080,PRD02977,3,neutral,99
REV00081,PRD02864,5,positive,156
REV00082,PRD00377,4,positive,123
REV00083,PRD02827,2,negative,110
REV00084,PRD00878,5,positive,95
REV00085,PRD00396,5,positive,45
REV00086,PRD00799,2,negative,97
REV00087,PRD02728,5,positive,2
REV00088,PRD01797,1,negative,188
REV00089,PRD01813,3,neutral,242
REV00090,PRD02484,3,neutral,163
REV00091,PRD01736,5,positive,78
REV00092,PRD02214,5,positive,165
REV00093,PRD02462,5,positive,178
REV00094,PRD00731,3,neutral,184
REV00095,PRD02265,5,positive,120
REV00096,PRD01504,1,negative,202
REV00097,PRD01343,4,positive,177
REV00098,PRD00018,5,positive,191
REV00099,PRD00074,5,positive,56
REV00100,PRD01887,2,negative,66
REV00101,PRD01611,2,negative,177
REV00102,PRD02343,5,positive,94
REV00103,PRD01817,5,positive,73
REV00104,PRD01737,5,positive,37
REV00105,PRD01796,5,positive,51
REV00106,PRD02058,5,positive,246
REV00107,PRD01045,2,negative,197
REV00108,PRD01756,5,positive,161
REV00109,PRD02449,4,positive,122
REV00110,PRD00917,5,positive,129
REV00111,PRD01828,3,neutral,131
REV00112,PRD02380,3,neutral,88
REV00113,PRD02283,4,positive,26
REV00114,PRD00740,5,positive,85
REV00115,PRD02588,1,negative,139
REV00116,PRD01475,5,positive,148
REV00117,PRD02116,5,positive,103
REV00118,PRD01186,1,negative,232
REV00119,PRD01438,5,positive,101
REV00120,PRD01673,4,positive,136
REV00121,PRD01656,2,negative,189
REV00122,PRD01693,5,positive,182
REV00123,PRD02183,3,neutral,11
REV00124,PRD01085,4,positive,243
REV00125,PRD00890,5,positive,55
REV00126,PRD02739,5,positive,249
REV00127,PRD00227,3,neutral,38
REV00128,PRD00770,3,neutral,27
REV00129,PRD00455,4,positive,20
REV00130,PRD01640,3,neutral,248
REV00131,PRD01651,4,positive,140
REV00132,PRD01626,4,positive,8
REV00133,PRD02773,1,negative,130
REV00134,PRD02150,5,positive,148
REV00135,PRD01757,5,positive,238
REV00136,PRD01097,5,positive,4
REV00137,PRD02525,5,positive,128
REV00138,PRD01413,5,positive,69
REV00139,PRD00962,3,neutral,158
REV00140,PRD00252,4,positive,184
REV00141,PRD01822,5,positive,38
REV00142,PRD01552,3,neutral,239
REV00143,PRD00606,3,neutral,34
REV00144,PRD01951,4,positive,120
REV00145,PRD02842,5,positive,177
REV00146,PRD01033,1,negative,222
REV00147,PRD02776,4,positive,238
REV00148,PRD00635,4,positive,87
REV00149,PRD01649,5,positive,93
REV00150,PRD00898,4,positive,221
REV00151,PRD01787,3,neutral,54
REV00152,PRD02196,3,neutral,196
REV00153,PRD02354,2,negative,21
REV00154,PRD02457,5,positive,240
REV00155,PRD01298,2,negative,83
REV00156,PRD00055,5,positive,168
REV00157,PRD01513,5,positive,214
REV00158,PRD01685,4,positive,201
REV00159,PRD01986,2,negative,180
REV00160,PRD00262,5,positive,6
REV00161,PRD00939,5,positive,17
REV00162,PRD01806,3,neutral,154
REV00163,PRD00553,5,positive,246
REV00164,PRD00767,5,positive,92
REV00165,PRD01313,3,neutral,143
REV00166,PRD02339,5,positive,167
REV00167,PRD02989,4,positive,135
REV00168,PRD02512,4,positive,249
REV00169,PRD00991,3,neutral,78
REV00170,PRD02047,4,positive,243
REV00171,PRD01254,4,positive,9
REV00172,PRD00922,4,positive,12
REV00173,PRD02394,5,positive,160
REV00174,PRD00044,4,positive,215
REV00175,PRD02973,5,positive,13
REV00176,PRD01541,4,positive,216
REV00177,PRD01430,5,positive,218
REV00178,PRD01876,4,positive,124
REV00179,PRD01951,4,positive,24
REV00180,PRD01092,5,positive,38
REV00181,PRD00171,5,positive,222
REV00182,PRD02427,3,neutral,35
REV00183,PRD02037,4,positive,47
REV00184,PRD00331,3,neutral,208
REV00185,PRD01790,5,positive,34
REV00186,PRD02591,3,neutral,242
REV00187,PRD02508,5,positive,67
REV00188,PRD02011,4,positive,53
REV00189,PRD00741,4,positive,67
REV00190,PRD01708,5,positive,246
REV00191,PRD01696,5,positive,191
REV00192,PRD00167,5,positive,183
REV00193,PRD02694,4,positive,192
REV00194,PRD01922,3,neutral,233
REV00195,PRD00905,2,negative,138
REV00196,PRD01860,2,negative,237
REV00197,PRD02173,5,positive,88
REV00198,PRD00468,5,positive,109
REV00199,PRD02433,4,positive,28
REV00200,PRD01666,4,positive,215
REV00201,PRD01754,3,neutral,219
REV00202,PRD00963,5,positive,127
REV00203,PRD01776,5,positive,158
REV00204,PRD00187,5,positive,58
REV00205,PRD02299,3,neutral,46
REV00206,PRD02091,3,neutral,165
REV00207,PRD01279,2,negative,140
REV00208,PRD02918,4,positive,240
REV00209,PRD00823,2,negative,92
REV00210,PRD02776,2,negative,110
REV00211,PRD00020,2,negative,129
REV00212,PRD01257,4,positive,201
REV00213,PRD00929,3,neutral,195
REV00214,PRD01669,4,positive,88
REV00215,PRD02141,4,positive,50
REV00216,PRD02792,2,negative,3
REV00217,PRD01122,4,positive,49
REV00218,PRD02575,5,positive,190
REV00219,PRD01800,4,positive,146
REV00220,PRD00511,5,positive,189
REV00221,PRD00510,4,positive,9
REV00222,PRD01283,5,positive,229
REV00223,PRD00428,5,positive,131
REV00224,PRD02242,5,positive,17
REV00225,PRD02748,5,positive,228
REV00226,PRD01032,5,positive,78
REV00227,PRD02823,4,positive,5
REV00228,PRD02511,2,negative,111
REV00229,PRD02806,5,positive,89
REV00230,PRD01947,5,positive,69
REV00231,PRD00826,1,negative,161
REV00232,PRD02534,4,positive,28
REV00233,PRD00419,4,positive,26
REV00234,PRD01146,4,positive,136
REV00235,PRD00872,5,positive,9
REV00236,PRD02437,5,positive,185
REV00237,PRD02192,2,negative,229
REV00238,PRD02216,4,positive,35
REV00239,PRD00801,5,positive,154
REV00240,PRD02964,1,negative,64
REV00241,PRD02716,4,positive,171
REV00242,PRD02965,1,negative,156
REV00243,PRD02103,5,positive,54
REV00244,PRD02614,2,negative,182
REV00245,PRD00751,5,positive,200
REV00246,PRD02512,4,positive,67
REV00247,PRD01581,5,positive,149
REV00248,PRD01461,1,negative,215
REV00249,PRD01500,3,neutral,52
REV00250,PRD02308,2,negative,196
REV00251,PRD00798,4,positive,150
REV00252,PRD00243,4,positive,183
REV00253,PRD02895,1,negative,119
REV00254,PRD01288,3,neutral,167
REV00255,PRD01192,5,positive,155
REV00256,PRD00820,5,positive,107
REV00257,PRD00641,4,positive,226
REV00258,PRD00173,5,positive,138
REV00259,PRD00751,5,positive,133
REV00260,PRD02496,3,neutral,165
REV00261,PRD01505,5,positive,83
REV00262,PRD01992,2,negative,152
REV00263,PRD01456,3,neutral,80
REV00264,PRD02758,2,negative,51
REV00265,PRD01671,4,positive,197
REV00266,PRD00014,4,positive,32
REV00267,PRD02638,5,positive,91
REV00268,PRD01073,5,positive,77
REV00269,PRD01376,4,positive,198
REV00270,PRD01182,5,positive,182
REV00271,PRD02132,5,positive,177
REV00272,PRD01173,2,negative,159
REV00273,PRD01020,5,positive,246
REV00274,PRD00802,2,negative,107
REV00275,PRD02182,5,positive,65
REV00276,PRD01315,4,positive,4
REV00277,PRD00160,4,positive,41
REV00278,PRD00573,3,neutral,86
REV00279,PRD00396,5,positive,131
REV00280,PRD02276,3,neutral,25
REV00281,PRD01677,3,neutral,34
REV00282,PRD00467,4,positive,81
REV00283,PRD01377,3,neutral,82
REV00284,PRD02001,2,negative,140
REV00285,PRD02782,4,positive,90
REV00286,PRD00732,5,positive,76
REV00287,PRD02811,3,neutral,86
REV00288,PRD02502,4,positive,49
REV00289,PRD02891,5,positive,8
REV00290,PRD01821,5,positive,116
REV00291,PRD02246,3,neutral,75
REV00292,PRD02291,4,positive,163
REV00293,PRD00028,5,positive,84
REV00294,PRD02390,4,positive,159
REV00295,PRD01776,5,positive,250
REV00296,PRD01974,2,negative,240
REV00297,PRD02341,4,positive,134
REV00298,PRD00506,5,positive,248
REV00299,PRD01118,5,positive,44
REV00300,PRD02851,3,neutral,36
REV00301,PRD00464,4,positive,133
REV00302,PRD00864,5,positive,51
REV00303,PRD00535,3,neutral,154
REV00304,PRD01773,4,positive,208
REV00305,PRD00871,4,positive,98
REV00306,PRD02918,3,neutral,220
REV00307,PRD02871,5,positive,52
REV00308,PRD02804,5,positive,51
REV00309,PRD01798,2,negative,169
REV00310,PRD00226,1,negative,84
REV00311,PRD02579,4,positive,98
REV00312,PRD01359,5,positive,52
REV00313,PRD00409,3,neutral,70
REV00314,PRD00692,5,positive,222
REV00315,PRD00186,5,positive,164
REV00316,PRD02098,5,positive,11
REV00317,PRD02353,5,positive,31
REV00318,PRD01196,5,positive,201
REV00319,PRD02725,2,negative,61
REV00320,PRD01118,5,positive,176
REV00321,PRD01044,4,positive,43
REV00322,PRD00556,5,positive,68
REV00323,PRD00731,5,positive,54
REV00324,PRD00054,5,positive,64
REV00325,PRD01160,1,negative,94
REV00326,PRD02875,5,positive,166
REV00327,PRD01853,4,positive,219
REV00328,PRD02653,3,neutral,39
REV00329,PRD01597,4,positive,226
REV00330,PRD02000,3,neutral,2
REV00331,PRD02405,5,positive,111
REV00332,PRD02812,5,positive,19
REV00333,PRD00874,2,negative,112
REV00334,PRD00980,2,negative,121
REV00335,PRD01264,1,negative,195
REV00336,PRD01888,4,positive,50
REV00337,PRD00146,4,positive,58
REV00338,PRD00818,3,neutral,243
REV00339,PRD01113,4,positive,234
REV00340,PRD00287,5,positive,23
REV00341,PRD02500,5,positive,192
REV00342,PRD00578,5,positive,110
REV00343,PRD00870,3,neutral,225
REV00344,PRD02630,5,positive,145
REV00345,PRD01561,2,negative,219
REV00346,PRD02033,5,positive,102
REV00347,PRD01347,4,positive,237
REV00348,PRD02110,4,positive,35
REV00349,PRD01265,5,positive,82
REV00350,PRD02440,5,positive,145
REV00351,PRD01665,3,neutral,116
REV00352,PRD00907,4,positive,30
REV00353,PRD02800,5,positive,1
REV00354,PRD00589,5,positive,241
REV00355,PRD01325,5,positive,39
REV00356,PRD00838,4,positive,227
REV00357,PRD00807,4,positive,162
REV00358,PRD01104,1,negative,26
REV00359,PRD00514,5,positive,160
REV00360,PRD01219,4,positive,238
REV00361,PRD01664,3,neutral,80
REV00362,PRD01993,5,positive,165
REV00363,PRD01776,5,positive,78
REV00364,PRD01583,4,positive,181
REV00365,PRD00953,3,neutral,33
REV00366,PRD02945,4,positive,212
REV00367,PRD01709,4,positive,154
REV00368,PRD02470,4,positive,24
REV00369,PRD01263,5,positive,108
REV00370,PRD00856,5,positive,242
REV00371,PRD01632,4,positive,131
REV00372,PRD02056,5,positive,80
REV00373,PRD00347,5,positive,233
REV00374,PRD01510,4,positive,225
REV00375,PRD02162,3,neutral,129
REV00376,PRD02329,4,positive,14
REV00377,PRD01170,5,positive,214
REV00378,PRD00321,5,positive,35
REV00379,PRD00570,4,positive,160
REV00380,PRD02349,5,positive,223
REV00381,PRD00571,5,positive,118
REV00382,PRD00839,3,neutral,188
REV00383,PRD02361,4,positive,27
REV00384,PRD02540,5,positive,120
REV00385,PRD02710,5,positive,40
REV00386,PRD01793,4,positive,62
REV00387,PRD02926,4,positive,33
REV00388,PRD01348,5,positive,65
REV00389,PRD01544,5,positive,69
REV00390,PRD00096,3,neutral,16
REV00391,PRD02605,4,positive,157
REV00392,PRD02880,5,positive,12
REV00393,PRD00854,3,neutral,132
REV00394,PRD00491,3,neutral,148
REV00395,PRD02871,5,positive,105
REV00396,PRD02563,3,neutral,116
REV00397,PRD01392,5,positive,72
REV00398,PRD00397,3,neutral,142
REV00399,PRD02893,5,positive,249
REV00400,PRD01677,5,positive,96
REV00401,PRD00733,5,positive,133
REV00402,PRD00470,5,positive,33
REV00403,PRD02008,3,neutral,81
REV00404,PRD00314,4,positive,121
REV00405,PRD01698,4,positive,68
REV00406,PRD01476,2,negative,134
REV00407,PRD00960,4,positive,132
REV00408,PRD01159,2,negative,111
REV00409,PRD01962,4,positive,43
REV00410,PRD00412,5,positive,213
REV00411,PRD02136,5,positive,30
REV00412,PRD02154,5,positive,211
REV00413,PRD01573,5,positive,48
REV00414,PRD01384,5,positive,41
REV00415,PRD01109,4,positive,29
REV00416,PRD01379,5,positive,207
REV00417,PRD01619,2,negative,115
REV00418,PRD00738,2,negative,229
REV00419,PRD01920,5,positive,202
REV00420,PRD00315,4,positive,58
REV00421,PRD00188,4,positive,3
REV00422,PRD01047,5,positive,0
REV00423,PRD00757,5,positive,241
REV00424,PRD00323,2,negative,44
REV00425,PRD01233,4,positive,70
REV00426,PRD02323,5,positive,160
REV00427,PRD02305,5,positive,76
REV00428,PRD00088,4,positive,115
REV00429,PRD02495,4,positive,70
REV00430,PRD00426,4,positive,170
REV00431,PRD00108,2,negative,219
REV00432,PRD01586,4,positive,175
REV00433,PRD01695,5,positive,137
REV00434,PRD00127,5,positive,32
REV00435,PRD00291,4,positive,136
REV00436,PRD00573,4,positive,65
REV00437,PRD01516,5,positive,217
REV00438,PRD00701,5,positive,199
REV00439,PRD02663,4,positive,6
REV00440,PRD01672,5,positive,247
REV00441,PRD01955,3,neutral,17
REV00442,PRD01798,5,positive,205
REV00443,PRD01540,4,positive,34
REV00444,PRD02273,2,negative,131
REV00445,PRD02684,5,positive,123
REV00446,PRD01871,1,negative,212
REV00447,PRD01574,4,positive,174
REV00448,PRD01719,4,positive,85
REV00449,PRD00341,4,positive,9
REV00450,PRD02140,5,positive,86
REV00451,PRD00786,5,positive,108
REV00452,PRD01677,4,positive,184
REV00453,PRD01886,5,positive,89
REV00454,PRD01423,1,negative,66
REV00455,PRD01712,4,positive,110
REV00456,PRD02604,5,positive,244
REV00457,PRD00837,3,neutral,41
REV00458,PRD02032,5,positive,33
REV00459,PRD02826,5,positive,182
REV00460,PRD02315,3,neutral,1
REV00461,PRD01412,1,negative,235
REV00462,PRD00066,5,positive,10
REV00463,PRD00002,5,positive,115
REV00464,PRD02449,4,positive,83
REV00465,PRD01889,5,positive,100
REV00466,PRD02357,3,neutral,195
REV00467,PRD02174,3,neutral,34
REV00468,PRD01692,4,positive,244
REV00469,PRD01866,4,positive,47
REV00470,PRD02337,5,positive,201
REV00471,PRD00407,3,neutral,181
REV00472,PRD02212,4,positive,162
REV00473,PRD01344,3,neutral,192
REV00474,PRD00157,5,positive,86
REV00475,PRD01762,5,positive,75
REV00476,PRD02227,5,positive,210
REV00477,PRD02424,5,positive,25
REV00478,PRD00823,3,neutral,15
REV00479,PRD00331,4,positive,5
REV00480,PRD02689,2,negative,141
REV00481,PRD02236,5,positive,4
REV00482,PRD01945,4,positive,175
REV00483,PRD01803,5,positive,105
REV00484,PRD00953,5,positive,169
REV00485,PRD01305,4,positive,101
REV00486,PRD00732,5,positive,241
REV00487,PRD01319,5,positive,99
REV00488,PRD01887,4,positive,200
REV00489,PRD02347,5,positive,222
REV00490,PRD02594,5,positive,101
REV00491,PRD00079,4,positive,23
REV00492,PRD01439,5,positive,248
REV00493,PRD01630,3,neutral,14
REV00494,PRD02438,5,positive,134
REV00495,PRD02880,1,negative,5
REV00496,PRD01220,1,negative,88
REV00497,PRD02785,4,positive,241
REV00498,PRD00641,5,positive,111
REV00499,PRD00671,3,neutral,81
REV00500,PRD00869,4,positive,49
REV00501,PRD02630,4,positive,100
REV00502,PRD01870,5,positive,171
REV00503,PRD01144,5,positive,49
REV00504,PRD02655,5,positive,234
REV00505,PRD02505,4,positive,99
REV00506,PRD00763,5,positive,247
REV00507,PRD00640,5,positive,250
REV00508,PRD02983,4,positive,112
REV00509,PRD01171,4,positive,135
REV00510,PRD02250,4,positive,210
REV00511,PRD02383,4,positive,35
REV00512,PRD01581,4,positive,157
REV00513,PRD01633,5,positive,46
REV00514,PRD01337,5,positive,140
REV00515,PRD00986,4,positive,17
REV00516,PRD01988,3,neutral,113
REV00517,PRD02393,5,positive,184
REV00518,PRD00276,2,negative,112
REV00519,PRD02037,5,positive,242
REV00520,PRD02734,4,positive,171
REV00521,PRD01159,4,positive,84
REV00522,PRD01329,5,positive,247
REV00523,PRD00286,4,positive,67
REV00524,PRD02177,5,positive,197
REV00525,PRD00544,2,negative,228
REV00526,PRD02136,2,negative,157
REV00527,PRD02554,4,positive,191
REV00528,PRD02085,5,positive,201
REV00529,PRD01679,2,negative,126
REV00530,PRD00971,1,negative,9
REV00531,PRD02835,2,negative,99
REV00532,PRD01078,4,positive,85
REV00533,PRD01992,3,neutral,235
REV00534,PRD00977,4,positive,240
REV00535,PRD02936,5,positive,54
REV00536,PRD00246,5,positive,191
REV00537,PRD02949,3,neutral,113
REV00538,PRD01475,5,positive,124
REV00539,PRD02296,3,neutral,226
REV00540,PRD02714,5,positive,202
REV00541,PRD01599,5,positive,132
REV00542,PRD01113,3,neutral,132
REV00543,PRD00567,5,positive,130
REV00544,PRD00581,3,neutral,230
REV00545,PRD02561,5,positive,234
REV00546,PRD02152,4,positive,144
REV00547,PRD00120,4,positive,102
REV00548,PRD01217,5,positive,50
REV00549,PRD00603,5,positive,103
REV00550,PRD02179,5,positive,68
REV00551,PRD00994,3,neutral,186
REV00552,PRD02816,4,positive,242
REV00553,PRD01007,3,neutral,132
REV00554,PRD00567,2,negative,245
REV00555,PRD00395,5,positive,175
REV00556,PRD01570,4,positive,8
REV00557,PRD02929,4,positive,84
REV00558,PRD00033,3,neutral,220
REV00559,PRD01523,5,positive,13
REV00560,PRD00649,5,positive,121
REV00561,PRD01176,3,neutral,109
REV00562,PRD01269,4,positive,162
REV00563,PRD00575,3,neutral,139
REV00564,PRD01055,5,positive,183
REV00565,PRD00226,4,positive,87
REV00566,PRD01732,4,positive,154
REV00567,PRD00609,5,positive,52
REV00568,PRD02726,2,negative,91
REV00569,PRD02056,5,positive,188
REV00570,PRD00086,5,positive,30
REV00571,PRD01915,3,neutral,105
REV00572,PRD02041,4,positive,64
REV00573,PRD01231,5,positive,167
REV00574,PRD00423,5,positive,95
REV00575,PRD02157,5,positive,29
REV00576,PRD00645,5,positive,81
REV00577,PRD00946,5,positive,135
REV00578,PRD02904,4,positive,204
REV00579,PRD02273,4,positive,182
REV00580,PRD02791,4,positive,205
REV00581,PRD02011,4,positive,39
REV00582,PRD00028,4,positive,140
REV00583,PRD02115,5,positive,63
REV00584,PRD02612,4,positive,246
REV00585,PRD02560,4,positive,181
REV00586,PRD02584,5,positive,210
REV00587,PRD00904,4,positive,105
REV00588,PRD00706,3,neutral,220
REV00589,PRD00022,2,negative,10
REV00590,PRD00524,4,positive,60
REV00591,PRD02220,3,neutral,183
REV00592,PRD02168,4,positive,74
REV00593,PRD00478,4,positive,73
REV00594,PRD01080,4,positive,229
REV00595,PRD00499,4,positive,145
REV00596,PRD01328,1,negative,103
REV00597,PRD02059,4,positive,183
REV00598,PRD01905,4,positive,108
REV00599,PRD00630,1,negative,3
REV00600,PRD01897,4,positive,177
REV00601,PRD00361,5,positive,208
REV00602,PRD01228,3,neutral,106
REV00603,PRD02704,4,positive,157
REV00604,PRD00680,5,positive,2
REV00605,PRD00450,1,negative,67
REV00606,PRD02997,3,neutral,194
REV00607,PRD00781,4,positive,83
REV00608,PRD02221,5,positive,123
REV00609,PRD02631,4,positive,184
REV00610,PRD00474,3,neutral,30
REV00611,PRD01892,4,positive,20
REV00612,PRD00078,1,negative,22
REV00613,PRD01562,5,positive,187
REV00614,PRD00882,3,neutral,130
REV00615,PRD00230,5,positive,248
REV00616,PRD00923,5,positive,248
REV00617,PRD02770,5,positive,166
REV00618,PRD02041,1,negative,84
REV00619,PRD02085,2,negative,185
REV00620,PRD00223,4,positive,65
REV00621,PRD00068,4,positive,50
REV00622,PRD02075,5,positive,231
REV00623,PRD02250,5,positive,157
REV00624,PRD01324,3,neutral,16
REV00625,PRD01023,4,positive,169
REV00626,PRD01481,1,negative,11
REV00627,PRD02315,4,positive,47
REV00628,PRD02569,4,positive,39
REV00629,PRD02655,5,positive,80
REV00630,PRD02449,4,positive,177
REV00631,PRD01777,1,negative,156
REV00632,PRD00411,5,positive,220
REV00633,PRD00532,4,positive,4
REV00634,PRD01765,5,positive,92
REV00635,PRD02397,4,positive,57
REV00636,PRD00812,5,positive,148
REV00637,PRD02579,5,positive,24
REV00638,PRD02701,4,positive,165
REV00639,PRD01026,4,positive,70
REV00640,PRD02735,5,positive,7
REV00641,PRD02349,4,positive,198
REV00642,PRD00224,4,positive,204
REV00643,PRD02720,5,positive,103
REV00644,PRD01188,5,positive,219
REV00645,PRD01426,5,positive,142
REV00646,PRD02491,5,positive,185
REV00647,PRD02073,5,positive,12
REV00648,PRD02566,4,positive,240
REV00649,PRD00365,5,positive,121
REV00650,PRD02726,2,negative,1
REV00651,PRD00219,3,neutral,111
REV00652,PRD01864,2,negative,121
REV00653,PRD01115,5,positive,4
REV00654,PRD00370,5,positive,15
REV00655,PRD00691,5,positive,211
REV00656,PRD00033,4,positive,186
REV00657,PRD02338,5,positive,90
REV00658,PRD00320,5,positive,196
REV00659,PRD01183,4,positive,114
REV00660,PRD01546,5,positive,187
REV00661,PRD02298,5,positive,231
REV00662,PRD00846,5,positive,158
REV00663,PRD00183,5,positive,131
REV00664,PRD02471,4,positive,172
REV00665,PRD00919,5,positive,227
REV00666,PRD01729,3,neutral,120
REV00667,PRD01551,4,positive,96
REV00668,PRD02377,4,positive,186
REV00669,PRD00647,5,positive,172
REV00670,PRD01739,1,negative,116
REV00671,PRD02208,5,positive,215
REV00672,PRD01310,5,positive,111
REV00673,PRD02567,4,positive,10
REV00674,PRD03000,5,positive,34
REV00675,PRD00963,3,neutral,61
REV00676,PRD00383,3,neutral,127
REV00677,PRD01839,4,positive,62
REV00678,PRD01072,5,positive,190
REV00679,PRD00334,5,positive,34
REV00680,PRD02615,2,negative,204
REV00681,PRD00686,4,positive,227
REV00682,PRD02770,1,negative,168
REV00683,PRD01632,5,positive,131
REV00684,PRD02801,4,positive,153
REV00685,PRD02847,5,positive,32
REV00686,PRD01156,3,neutral,75
REV00687,PRD01271,5,positive,163
REV00688,PRD01627,4,positive,28
REV00689,PRD01201,5,positive,80
REV00690,PRD01049,5,positive,95
REV00691,PRD02528,5,positive,106
REV00692,PRD02844,5,positive,45
REV00693,PRD02293,3,neutral,21
REV00694,PRD00414,5,positive,108
REV00695,PRD02539,4,positive,119
REV00696,PRD01097,2,negative,156
REV00697,PRD02935,4,positive,207
REV00698,PRD02255,2,negative,44
REV00699,PRD02387,2,negative,80
REV00700,PRD00447,1,negative,60
REV00701,PRD01052,4,positive,104
REV00702,PRD01229,5,positive,206
REV00703,PRD01394,5,positive,19
REV00704,PRD02539,4,positive,167
REV00705,PRD02828,4,positive,51
REV00706,PRD01261,3,neutral,85
REV00707,PRD01073,1,negative,45
REV00708,PRD00006,5,positive,22
REV00709,PRD01064,4,positive,206
REV00710,PRD01750,4,positive,129
REV00711,PRD01085,5,positive,203
REV00712,PRD02243,4,positive,197
REV00713,PRD00886,5,positive,146
REV00714,PRD01439,1,negative,70
REV00715,PRD02452,1,negative,182
REV00716,PRD00403,3,neutral,234
REV00717,PRD01226,4,positive,109
REV00718,PRD00965,5,positive,193
REV00719,PRD02298,4,positive,205
REV00720,PRD00200,3,neutral,219
REV00721,PRD00999,3,neutral,81
REV00722,PRD02263,5,positive,125
REV00723,PRD02845,5,positive,75
REV00724,PRD00574,5,positive,232
REV00725,PRD01752,5,positive,194
REV00726,PRD02686,4,positive,93
REV00727,PRD00366,2,negative,102
REV00728,PRD00033,2,negative,207
REV00729,PRD02511,2,negative,58
REV00730,PRD02315,5,positive,187
REV00731,PRD01530,3,neutral,110
REV00732,PRD00563,3,neutral,178
REV00733,PRD02944,5,positive,64
REV00734,PRD02034,2,negative,140
REV00735,PRD02197,3,neutral,73
REV00736,PRD01640,4,positive,33
REV00737,PRD02143,5,positive,72
REV00738,PRD02618,5,positive,36
REV00739,PRD00570,5,positive,40
REV00740,PRD02279,5,positive,131
REV00741,PRD01030,5,positive,87
REV00742,PRD02218,5,positive,88
REV00743,PRD01908,5,positive,23
REV00744,PRD01119,4,positive,0
REV00745,PRD02736,4,positive,176
REV00746,PRD00889,4,positive,63
REV00747,PRD01101,5,positive,186
REV00748,PRD01512,4,positive,192
REV00749,PRD01842,4,positive,236
REV00750,PRD02937,5,positive,82
